 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C17, C18
Time(s)/Cell Status, accepted, accepted, accepted, rejected, accepted, accepted, accepted, accepted, accepted, rejected, accepted, accepted, rejected, accepted, accepted, accepted, rejected, accepted, accepted
0, 10.40963, 0.5065045, 4.092502, -2.74569, -1.002936, 0.181964, -1.7232, 0.3313784, -1.509216, -0.6940539, -0.9986824, -0.8612684, 0.9286571, 1.620882, 0.5089317, 0.2032477, 1.602184, 12.1913, 1.66692
0.0999629259412838, 8.902843, 0.9838837, 2.436506, -1.532794, 0.9974164, -0.1194538, -0.3818384, -0.8638, -0.1653141, -0.7602735, 0.8483724, -0.7730649, -0.2923966, -0.5760589, -0.1324744, 2.816567, -0.3164725, 10.92983, 3.190651
0.1999258518825676, 9.472895, 0.1667347, 2.992137, -0.8876742, -0.2650151, 0.7345309, -1.136648, 0.3859636, -1.218081, 0.4837902, -0.3485994, -1.126453, 0.6065611, 0.9845005, 0.03943025, 0.1476995, -0.2220271, 13.91095, 4.067724
0.2998887778238514, 9.177695, -0.07307073, 1.986707, -2.030059, 0.5183746, -0.9557035, 0.89726, 0.1486607, -0.1374951, 0.1440727, -2.567626, -1.599666, -1.080049, 2.174783, 0.25665, 1.168733, -1.658686, 14.11926, 1.155886
0.3998517037651352, 8.588738, -0.5500339, 2.124439, -2.317611, 1.556444, -1.105316, -1.991641, -0.2630905, -1.663142, -1.566108, -1.136015, -0.5271935, -0.8438078, 0.7598639, 1.547609, 1.180345, 2.433218, 15.76808, 1.383672
0.499814629706419, 7.419539, -0.6779761, 2.33851, -1.731806, 0.2255988, 2.20555, -1.710012, 0.1826463, -1.122329, -0.6093804, 2.47291, -0.8121174, -0.8829896, -0.06840044, -0.6112074, -0.7499027, -0.4066215, 19.88209, 2.732196
0.5997775556477027, 7.781747, -2.135074, 2.245845, -1.635062, -0.9580143, -1.879115, -0.05398735, -1.763368, -0.3946932, -0.6925381, 7.005819, -0.4493465, -0.3419643, -0.8578765, -0.3150176, -0.8068504, 1.229801, 19.19757, 2.958853
0.6997404815889866, 8.097275, -1.10274, 0.5707573, -2.798584, -0.4491507, -0.4602804, -0.3976509, -0.5783694, -1.930547, 0.9993231, 11.53551, -1.234875, -0.4722665, -0.8990874, 3.222451, 5.785429, 1.480654, 20.39101, 1.57232
0.7997034075302704, 7.593297, 0.005487164, 1.96133, -1.946749, -1.908296, -0.4468316, -0.5588794, -1.842715, -1.720935, 0.1907724, 10.8114, -0.08081012, -1.76011, -0.4681561, -2.814181, 6.336029, 0.2136939, 17.45766, 2.130289
0.8996663334715541, 7.889087, -0.272634, 2.751039, -2.247573, -0.6177692, -2.034885, -0.03119295, 0.2214572, -1.201086, 0.05677725, 6.52261, 0.004732174, 0.03572937, 0.7985644, -1.093866, 4.891677, 1.317647, 17.91247, 4.483041
0.999629259412838, 7.972754, -1.010856, 2.851169, -2.174558, 1.103979, 0.4684202, -1.240605, -0.8656164, -2.975197, -0.7832315, 6.527255, 0.1206986, -1.94276, -1.018426, -0.475833, 2.841322, 1.637524, 17.37751, 0.9259814
1.099592185354122, 6.502263, 0.09369198, 1.696936, -3.507441, 1.460441, -0.6154324, -2.765862, 0.7136392, -3.609696, -1.133559, 3.780276, -1.777941, 0.308045, -1.817817, 0.8761517, 1.976424, 0.07900323, 17.79601, 3.430194
1.199555111295405, 6.837104, 0.6481254, 1.272569, -1.673568, 0.1141782, 0.3453202, -2.40136, 1.008779, -1.84049, -0.8864912, 4.979654, -2.142609, 0.2884752, -1.922142, -0.1077817, 2.634089, 0.1939633, 17.06813, 3.114779
1.299518037236689, 7.661436, 0.6902698, 0.376791, -2.332407, 2.001298, -1.321906, -1.147227, 1.914892, -1.259213, -0.4909726, 5.415929, 0.282553, 0.1043831, 1.450185, 0.2220267, -1.176062, 0.6980481, 16.12951, 1.944241
1.399480963177973, 7.233549, 0.8733751, 1.058668, -1.958587, -0.2535548, 0.7226982, -2.045257, -0.9616233, -2.081224, 0.2335182, 3.425369, -1.121306, 1.885366, -1.562768, -0.2690046, -1.293255, -1.351287, 15.83176, 2.495973
1.499443889119257, 6.723888, 0.5245445, 0.3088908, -2.70175, -0.42136, -1.162619, 0.957898, 1.093892, -0.4736098, -0.6657019, 1.998247, -1.160621, -0.1160998, -0.246044, 1.429825, 0.1696422, -0.2688136, 16.10343, 1.996199
1.599406815060541, 3.827196, -1.048733, 3.692937, -1.74903, -0.04182264, -1.007489, -1.157674, -0.8224168, -1.639089, 2.17756, 2.293847, -0.1055295, 1.054572, -0.7996599, 1.120454, 1.421858, 1.076055, 16.49865, 2.555774
1.699369741001824, 7.163366, 1.150337, 1.527333, -1.78905, 0.6757002, -1.594447, 0.6127952, 0.3584662, 0.003746593, -0.5287703, 2.759672, -0.8199031, -1.085862, -0.6941963, 0.9799682, -1.485263, 1.495765, 14.78622, 3.27426
1.799332666943108, 4.636321, 0.9605513, 2.115309, -2.534984, -1.160613, -0.7618717, 0.8686693, 0.3191099, -0.1179762, 0.1461517, 2.876226, -0.2442772, -1.395544, 0.02069847, -0.8118817, 0.3672935, 0.4220545, 14.6015, 3.29289
1.899295592884392, 5.40473, -2.341379, 0.6668376, -1.407122, 0.002912697, 0.8047018, -0.04029061, -0.6572722, -1.140139, -1.013775, 1.934018, -0.3725921, -1.420959, 0.5669545, 0.7653461, -0.4556115, 1.121993, 14.83558, 4.888903
