 , C00, C01, C02, C03, C04, C07, C08, C11, C12, C13, C14, C17, C18, C19
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.099962837367374,0,0,0,0,0.4967813,0.03077924,0,0,0,0,0,0,0,4.512831
0.199925674734748,0.04464781,0,0,0,0.4691982,0.02487206,0,0,0,0,0.4915151,0,0.00000002980232,4.715231
0.299888512102122,0.04117384,0,0,0,0.8276815,0.6607201,0.5611742,0,0,0,0.4273365,0,0.00000002980232,4.39845
0.399851349469496,0.03797017,0,0.0000001192093,0,0.7817256,0.5339154,0.5061246,0,0.5559593,0,0.3715378,0,0.00000001490116,4.102952
0.49981418683687,0.03501578,0,0.0000001192093,0,0.7383215,0.4314469,1.284127,0,0.5039603,0.00000001490116,0.3230249,0,0.00000002980232,3.827305
0.599777024204244,0.03229126,0,0.0000001192093,0,0.6973274,0.348644,1.158157,0,0.4306002,0.00000001490116,0.2808465,0,0.00000002980232,6.039554
0.699739861571618,0.02977873,0,0.0000001192093,0,0.6586094,0.7313315,1.044545,0,0.5082152,0.00000001490116,0.2441755,0,0.00000004470348,5.633801
0.799702698938992,0.0274617,0,0.0000001192093,0,0.6220412,0.590975,0.9420782,0,0.4342358,0.00000001490116,0.2122928,0,0.00000004470348,5.255309
0.899665536306366,0.02532495,0,0.0000001192093,0,0.5875034,0.4775557,0.849663,0,0.3710253,0.5103687,0.184573,0,0.00000002980232,8.413989
0.99962837367374,0.7188304,0,0,0,0.5548832,0.3859037,1.689534,0,0.3170162,0.4753466,0.1604727,0,0.00000002980232,7.848717
1.09959121104111,0.6628994,0,0.0000001192093,0,1.706961,0.3118414,1.523795,0,0.2708691,0.4427278,0.1395193,0.9754329,0.1901978,7.321421
1.19955404840849,0.6113203,0,0.0000001192093,0,1.612185,0.2519931,1.374315,0,0.2314395,0.592843,0.1213018,0.9211806,0.1749018,6.82955
1.29951688577586,0.8146124,0,0.0000002384186,0,1.561796,0.2036308,1.239499,0.05688647,0.1977495,0.5521615,0.1054631,0.8699458,0.160836,6.370725
1.39947972314324,0.7512287,0,0.0000001192093,0,1.546083,0.1645502,1.117907,0.05447841,0.1689637,0.5142716,0.09169242,0.8215606,0.2116261,5.942724
1.49944256051061,0.6927769,0,0.0000001192093,0,1.460239,0.1329699,1.008244,0.05217228,0.1443681,0.4789816,0.07971985,0.7758664,0.1946069,5.543477
1.59940539787798,0.6388731,0,0.00000005960464,0,1.379162,0.1074504,0.9093378,0.04996377,0.1233529,0.4461134,0.06931058,0.7327138,0.1789564,5.171053
1.69936823524536,0.5891635,0,0.00000005960464,0,1.302586,0.08682866,0.8201342,0.04784875,0.1053968,0.4155006,0.06026047,0.7975295,0.1645645,4.823649
1.79933107261273,0.5433217,0,0,0,1.230262,0.4267429,0.7396813,0.04582326,0.09005445,0.3869885,0.05239207,0.9720735,0.6000063,4.499585
1.89929390998011,0.5010467,0,0,0,1.161954,0.3448428,0.6671206,0.04388352,0.07694548,0.3604329,0.04555108,5.366332,0.8657134,4.197292
1.99925674734748,0.4620611,0,0,0,1.097438,0.2786609,0.6016779,0.04202588,0.06574475,0.3356996,0.03960333,6.983149,0.7960917,3.915307
2.09921958471485,0.4261089,0,0,0,1.684618,0.2251806,1.110352,0.04024689,0.05617448,0.3126636,0.0344322,9.488143,0.7320691,3.652268
2.19918242208223,0.3929541,0,0,0,1.591082,0.1819641,1.001429,0.03854319,0.04799733,0.2912083,0.02993628,13.0814,0.8250813,3.406899
2.2991452594496,0.362379,0,1.300288,0,1.50274,0.1808913,1.120932,0.03691162,0.0410105,0.2712252,0.0260274,15.63779,0.9202325,3.178016
2.39910809681698,0.3341829,0,1.215685,0,1.419303,0.2951419,1.010972,0.03534912,0.03504071,0.2526135,0.02262892,19.92676,0.8462264,2.964509
2.49907093418435,0.4103835,0,1.836673,0,1.340498,0.2384985,0.9117983,0.03385275,0.02993994,0.2352788,0.01967419,24.53498,0.7781718,2.765346
2.59903377155172,0.3784523,0,1.717171,0,1.266069,0.1927261,0.8223534,0.03241973,0.02558167,0.2191337,0.01710527,30.07505,1.800188,2.579563
2.6989966089191,0.3490056,0,1.605444,0,1.195773,0.1557383,0.7416828,0.03104737,0.02185782,0.2040965,0.01487178,34.85938,1.655415,2.406262
2.79895944628647,0.32185,0,1.500987,0,1.129379,0.1258492,0.6689257,0.0297331,0.01867604,0.1900912,0.01292993,38.54293,1.522284,2.244604
2.89892228365385,0.2968074,0,1.403327,0,2.360719,0.1016963,0.6033059,0.02847447,0.01595742,0.177047,0.01124163,43.34014,1.39986,2.093806
2.99888512102122,0.2737133,0,1.31202,0,2.807658,0.08217885,0.5441233,0.02726912,0.01363454,0.1648978,0.00977377,48.30547,1.287282,1.953139
3.09884795838859,0.2524161,0,1.226654,0,3.448555,0.06640717,1.003433,0.02611479,0.0116498,0.1535823,0.008497578,50.46619,1.183757,1.821922
3.19881079575597,0.2327761,0,2.854796,0,4.060518,0.05366237,0.9049992,0.02500932,0.009953973,0.1430433,0.007388023,52.52916,1.088558,1.699521
3.29877363312334,0.2146641,0,2.66905,0,6.297166,0.04336354,1.128144,0.02395065,0.008505003,0.1332275,0.006423345,57.12396,1.001015,1.585343
3.39873647049072,0.1979615,0,2.49539,0,8.2627,0.03504125,1.017477,0.02293679,0.007266955,0.1240853,0.005584629,58.69113,0.9205124,1.478836
3.49869930785809,0.1825584,0,2.33303,0,7.803926,0.02831617,0.9176649,0.02196585,0.006209125,0.1155704,0.004855426,60.29141,1.331972,1.379484
3.59866214522546,0.1683539,0,2.181233,0,7.370626,0.02288176,0.8459272,0.02103602,0.005305281,0.1076399,0.004221438,60.4653,1.224853,1.286807
3.69862498259284,0.1552546,0,2.039312,0,6.961384,0.01849031,0.762944,0.02014554,0.004533006,0.1002535,0.003670231,57.1023,1.126349,1.200356
3.79858781996021,0.1431745,0,1.906626,0,6.681371,0.01494167,0.6881013,0.01929276,0.003873149,0.09337401,0.003190998,54.47279,1.035767,4.68329
3.89855065732759,0.1320343,0,1.782573,0,6.310398,0.01207408,0.6206005,0.01847607,0.003309346,0.08696659,0.002774339,51.83648,0.9524694,4.368655
3.99851349469496,0.1217609,0,1.666591,0,5.960023,0.009756833,0.5597212,0.01769396,0.002827614,0.6534697,0.002412085,48.9534,0.8758708,4.075158
4.09847633206233,0.1122869,0,1.558155,0,5.979511,0.007884311,0.5048141,0.01694496,0.002416006,0.6086279,0.002097131,47.37028,0.9953086,3.801379
4.19843916942971,0.1035501,0,1.456775,0,5.647509,0.006371162,0.4552932,0.01622766,0.002064315,0.5668632,0.001823302,45.62666,1.031334,6.216068
4.29840200679708,0.095493,0,1.361991,0,5.33394,0.005148415,0.4106302,0.01554073,0.001763818,0.5279644,0.001585228,43.08897,0.9483927,7.394953
4.39836484416446,0.08806285,0,1.273374,0,5.645458,0.004160336,0.4285699,0.01488287,0.001507065,0.4917349,0.00137824,41.12672,1.004751,6.898142
4.49832768153183,0.08121082,0,1.190523,0,5.411155,0.003361888,1.133324,0.01425287,0.001287686,0.4579915,0.001198279,39.20575,0.9239477,6.434709
4.5982905188992,0.07489195,0,1.113062,0,5.110709,0.002716678,1.022148,0.01364953,0.001100241,0.4265637,0.001041816,37.02518,0.8496428,6.945877
4.69825335626658,0.06906473,0,1.040641,0,4.826945,0.002195296,0.9218784,0.01307173,0.0009400819,0.3972924,0.0009057826,35.0495,0.7813135,6.479236
4.79821619363395,0.06369092,0,0.9729328,0,4.558937,0.001773977,0.8314446,0.01251839,0.000803237,0.3700297,0.0007875117,35.50326,0.7184794,8.661201
4.89817903100133,0.05873523,0,0.9096296,0,4.305809,0.001433517,0.7498822,0.01198847,0.0006863121,0.3446379,0.0006846838,33.52861,0.6606984,9.96991
4.9981418683687,0.05416514,0,0.8504452,0,4.066736,0.2717805,0.6763208,0.01148099,0.0005864077,0.3209884,0.0005952825,32.75804,0.6075643,14.75854
5.09810470573607,0.04995064,0,0.7951115,0,5.397845,0.2196206,0.6099756,0.2993083,0.000501046,0.2989619,0.0005175546,30.93608,0.5587032,13.76702
5.19806754310345,0.04606407,0,0.7433782,0,5.098138,0.1774713,0.5501387,0.2866383,0.0004281101,0.3122822,0.0004499758,30.34747,0.5137717,12.84212
5.29803038047082,0.0424799,0,0.6950108,0,4.815072,0.1434111,0.4961716,0.2745046,0.0003657913,0.2908531,0.0003912211,28.65958,0.4724536,12.52637
5.3979932178382,0.03917461,0,0.6497903,0,4.547723,0.1158878,0.4474985,0.2628845,0.0003125441,0.2708944,0.0003401381,28.41524,0.4344583,11.68482
5.49795605520557,0.0361265,0,0.6075122,0,4.295218,0.09364674,0.4036001,0.2517563,0.000267048,0.2523053,0.0002957252,27.52149,0.3995187,10.89981
5.59791889257294,0.03331555,0,0.5679848,0,4.056733,0.07567415,0.7388771,0.2410992,0.0002281746,0.2349918,0.0002571114,26.05494,0.3673889,11.84098
5.69788172994032,0.03072333,0,0.5310293,0,3.915375,0.06115083,0.6663952,0.2308932,0.0001949598,0.2188665,0.0002235396,24.6058,0.3378431,15.9794
5.79784456730769,0.0283328,0,0.4964782,0,3.69798,0.04941482,0.6010237,0.2211193,0.0001665801,0.2038476,0.0001943513,23.23726,0.3106734,14.90586
5.89780740467507,0.02612827,0,0.4641752,0,3.492656,0.03993118,0.5420649,0.2117591,0.0001423315,0.1898593,0.0001689742,21.94484,0.5996075,13.90445
5.99777024204244,0.02409527,0,0.4339739,0,3.298732,0.03226763,0.8267826,0.2027951,0.0001216127,0.176831,0.0001469108,22.34762,0.5513864,12.97032
6.09773307940981,0.02222046,0,0.4057377,0,3.115575,0.02607486,0.7456775,0.1942105,0.0001039099,0.1646966,0.0001277282,21.9636,0.5070432,13.487
