 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C11, C12
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0,0,0,0,0,0,0,0,0,0,0,0,0
0.0999627133943428,0,0,0,0,0,0,0,0,1.854531,0,1.934482,0.1485246
0.199925426788685,0,0,0,0,-0.0000001192093,0,1.171065,0,1.72256,0.39571,1.741231,0.1387264
0.299888140183028,0.3873577,0,0,0,0,0,1.111135,0,1.623526,2.26497,1.567286,0.4092136
0.399850853577371,0.352922,0,0,0.5223211,0,0,1.054271,0,1.507995,2.509211,1.410718,0.3822178
0.499813566971714,0.3215476,0,0,0.4826832,0.4083648,0,1.349097,0,1.400684,2.365355,1.26979,0.3570028
0.599776280366057,0.2929624,0,0,0.4460533,0.4380552,0,1.280056,0,1.30101,2.229745,1.142941,0.3334513
0.699738993760399,0.2669184,0,0,1.109936,0.4003647,0,1.214547,0,1.750923,2.101911,1.028764,0.8771272
0.799701707154742,0.2431896,0,0,1.025706,0.4004864,0.06788933,1.152391,0,1.626326,4.249137,0.9259927,0.819263
0.899664420549085,0.6616405,0,0,0.9478668,0.3660282,0.06496162,1.093416,0,1.510595,4.005529,0.9478921,0.7652161
0.999627133943428,0.6028214,0,0,0.8759351,0.3345349,0.06216017,1.037459,0,1.4031,3.775887,1.766612,0.7147347
1.09958984733777,0.5492312,0,0,0.809462,0.3057513,0.05947953,0.9843652,0,1.303254,4.37614,1.590132,0.6675836
1.19955256073211,1.082037,0,0,0.7480336,0.2794442,0.0569145,0.9339889,0,1.210513,5.399839,1.431281,0.623543
1.29951527412646,1.292674,0,0,0.6912668,0.2554006,0.05446008,0.8861908,0,1.124372,5.09026,1.288299,0.5824078
1.3994779875208,2.864587,0,0,0.6388079,0.6510208,0.05211151,0.8408387,0,1.04436,4.798429,1.159601,0.6049406
1.49944070091514,2.937727,0,0,3.199319,0.5950065,0.04986421,1.066271,0,0.9700427,4.523329,1.04376,0.5650326
1.59940341430948,6.587169,0,0,7.330843,0.5438117,0.04771383,1.443283,0,1.605399,4.264,0.9394904,0.5277573
1.69936612770383,8.767004,0,0,10.71952,0.4970218,0.04565619,1.369421,0,1.491157,5.392563,0.8456374,0.4929411
1.79932884109817,7.987627,0,0,9.906036,0.535205,0.04368728,1.299339,0,1.385045,5.083401,1.676046,0.4604217
1.89929155449251,7.277536,0,0,9.154287,0.4891557,0.04180328,1.232844,0,1.286484,4.791963,1.508613,0.4300477
1.99925426788686,6.630571,0,0,8.459586,1.283291,0.04000053,1.169751,0,1.194937,4.517234,1.357906,0.4016774
2.0992169812812,6.041121,0,0,7.817605,1.172876,0.03827552,1.109888,0,1.109904,4.258255,1.222254,0.3751787
2.19917969467554,5.504072,0,0,7.224342,1.071961,0.0366249,1.053088,0,1.030922,4.014124,1.100154,0.3504281
2.29914240806988,5.014766,0,0,6.676101,1.517147,0.03504546,0.9991944,0,0.9575604,3.78399,0.9902507,0.3273103
2.39910512146423,4.568959,1.10776,0,6.169465,1.866217,0.03353414,0.9480593,0,1.311219,3.567049,0.8913269,0.3057176
2.49906783485857,4.162783,4.103543,0,5.701276,1.705646,0.03208799,0.899541,0,1.217911,5.186618,0.8022854,0.2855494
2.59903054825291,3.792716,6.887843,0,5.268618,1.558891,0.0307042,0.9528026,0,1.131243,6.031086,0.7221389,0.2667117
2.69899326164726,3.455548,9.054492,0.02964921,4.868793,1.424763,0.02938009,0.9040416,0,1.050743,5.685316,0.6499988,0.2491167
2.7989559750416,3.148354,8.460301,0.02827299,4.49931,1.302175,0.02811309,0.8577761,0,0.9759712,6.528459,0.5850654,0.2326824
2.89891868843594,2.868469,7.905104,0.02696065,4.157866,1.403869,0.02690072,1.098309,0,0.9065202,6.154175,0.5266187,0.2173323
2.99888140183028,2.613465,7.38634,0.02570922,3.842333,1.283079,0.02574063,1.042102,0,0.8420113,5.801348,0.4740107,0.2029949
3.09884411522463,2.381131,6.90162,0.02451588,3.550746,1.172682,0.02463058,0.9887708,0,0.782093,6.385356,0.4266581,0.1896033
3.19880682861897,2.169451,6.448709,0.02337794,3.281287,1.071784,0.02356839,0.9381691,0,0.7264385,6.019276,0.3840359,0.1770951
3.29876954201331,1.976589,6.02552,0.02229281,3.032276,0.9795668,0.02255201,0.890157,0,0.6747444,6.856814,0.5340471,0.1654121
3.39873225540765,1.800872,5.630102,0.02125805,2.802163,1.141393,0.02157946,1.027844,0,0.6267289,6.463705,0.480697,0.1544999
3.498694968802,1.714431,5.260633,0.02027132,2.589512,1.043187,0.02064886,0.9752423,0,0.5821303,6.093132,0.5653373,0.1443075
3.59865768219634,1.56202,4.91541,0.01933039,2.392999,0.9534305,0.01975838,0.925333,0,0.5407053,5.743805,0.5088614,0.1347875
3.69862039559068,1.423158,4.592841,0.01843314,2.211399,0.8713968,0.01890631,0.8779778,0,0.5022282,5.414506,0.4580273,0.1258956
3.79858310898502,1.296641,4.291441,0.01757753,2.043581,0.7964212,0.01809098,0.8330461,0,0.4664892,5.104085,0.4122714,0.1175902
3.89854582237937,1.181371,4.00982,0.01676164,1.888497,0.7278966,0.01731081,0.7904138,0,0.4332933,5.635599,0.3710864,0.1098328
3.99850853577371,1.076348,3.74668,0.01598362,1.745183,0.6652678,0.01656429,0.9485219,0,0.4024598,6.124987,0.3340157,0.1025871
4.09847124916805,0.9806621,3.500808,0.01524171,1.612744,0.6080278,0.01584996,0.8999799,0.4364814,0.5559011,5.773834,0.3006483,0.3040569
4.1984339625624,0.8934823,3.271072,0.3597134,1.490356,0.5557126,0.01516643,0.8539222,0.3885518,1.116897,5.442812,0.2706142,0.2839982
4.29839667595674,0.8140528,3.056411,0.3430167,1.377256,0.5078987,0.01451239,0.8102216,0.3458852,1.037418,5.130769,0.2435804,0.5738532
4.39835938935108,1.768607,2.855838,0.327095,1.272739,0.4641988,0.01388654,0.7687574,0.3079039,0.963594,4.836616,0.2192473,0.535996
4.49832210274543,1.611379,2.668427,0.3119123,1.176153,0.4242588,0.01328769,0.7294152,0.2740932,0.8950237,5.497513,0.197345,0.5006363
4.59828481613977,1.955216,2.493314,0.2974343,1.086897,0.3877553,0.01271466,0.6920863,0.2439952,0.8313329,5.182333,0.1776307,0.4676093
4.69824752953411,1.7814,2.329693,0.2836284,1.127383,0.3543926,0.01216635,0.6566679,0.2172023,0.7721745,4.885224,0.1598858,0.436761
4.79821024292845,1.623035,2.17681,0.2704633,1.041828,0.3239004,0.01164168,0.623062,0.1933515,0.7172258,4.605148,0.1439135,0.4079478
4.8981729563228,1.478749,2.033959,0.2579093,0.9627657,0.9302034,0.01113963,1.626323,0.1721198,0.6661873,4.341129,0.1295369,0.3810355
4.99813566971714,1.34729,1.900483,0.245938,0.8897033,0.8501681,0.01065924,1.543093,0.1532194,0.6187807,4.092247,0.1165965,0.3558985
5.09809838311148,1.227517,1.775766,0.2345223,0.8221855,0.7770191,0.01019957,1.464123,0.1363945,0.5747477,3.857633,0.1049487,0.3324199
5.19806109650582,1.118393,1.659233,0.2236366,0.7597914,0.7101638,0.009759712,1.389195,0.1214172,0.5338481,3.63647,0.09446459,0.3104901
5.29802380990017,1.018969,1.550348,0.2132561,0.7021323,0.6490608,0.009338828,1.318101,0.1080844,0.495859,5.093569,0.6847943,0.290007
5.39798652329451,0.9283835,1.448608,0.2033574,0.6488489,0.5932152,0.008936094,1.250645,0.09621578,0.4605732,4.801549,0.6163849,0.2708752
5.49794923668885,0.8458512,1.353545,0.1939182,0.5996091,0.5421745,0.008550728,1.186642,0.08565041,0.4277983,4.52627,0.5548095,0.2530055
5.5979119500832,0.770656,1.26472,0.1849172,0.5541059,0.4955255,0.008181981,1.125914,0.07624521,0.4614563,4.266773,0.4993852,0.2363147
5.69787466347754,0.7021455,1.181724,0.1763339,0.5120559,1.393953,0.007829135,1.068294,0.06787279,0.4286186,4.022154,0.4494978,0.3804285
5.79783737687188,0.6397256,1.104175,0.1681491,0.473197,1.274016,0.007491506,1.013622,0.06041973,0.3981177,4.902569,0.5197131,0.3553316
5.89780009026622,0.5828547,1.031714,0.1603441,0.437287,1.370845,0.007168437,0.9617487,0.05378509,0.5740481,4.621499,0.4677949,0.5610282
5.99776280366056,0.5310395,0.9640093,0.1529015,0.4041021,1.273209,0.006859301,0.9125298,0.047879,0.6121851,4.356542,0.4210633,0.6143482
6.09772551705491,0.4838307,0.9007473,0.1458043,0.3734356,1.163661,0.006563495,0.8658299,0.04262144,0.5686214,5.13268,0.379,0.5738196
6.19768823044925,0.4408187,0.8416368,0.1390365,0.3450963,1.063539,0.006280447,0.9213941,0.03794122,0.5281578,4.838417,0.3411388,0.5359646
6.29765094384359,0.4016304,0.7864053,0.1325829,0.3189076,0.9720315,0.006009605,0.8742405,0.03377493,0.4905736,5.122227,0.3070598,0.500607
6.39761365723794,0.3659259,0.7347984,0.1264288,0.2947064,1.495797,0.005750442,0.8295001,0.03006613,0.4556639,5.328706,0.2763852,0.4675818
6.49757637063228,0.3333955,0.686578,0.1205604,0.2723417,1.367098,0.005502456,0.7870493,0.02676459,1.881575,5.023205,0.2487749,0.4367354
6.59753908402662,0.303757,0.6415221,0.1149644,0.2516742,1.249472,0.005265165,0.746771,0.0238256,1.74768,5.079338,0.2239229,0.4611697
6.69750179742097,0.2767533,0.5994229,0.1096281,0.2325751,1.391687,0.005038106,0.708554,0.02120933,1.623313,4.788133,0.5704536,0.4307463
6.79746451081531,0.2521503,0.5600865,0.1045395,0.2149255,1.271945,0.00482084,0.6722928,0.01888035,1.507797,5.592491,0.5134665,0.4023299
6.89742722420965,0.2297344,0.5233315,0.09968714,0.1986152,1.162506,0.004612942,0.6378872,0.01680711,1.400501,5.271866,0.4621724,0.3757882
6.99738993760399,0.2093113,0.4889884,0.09505998,0.1835427,1.062483,0.004414011,0.6052425,0.01496154,1.30084,4.969624,0.4160024,0.3509974
7.09735265099834,0.1907037,0.4568991,0.09064761,0.169614,0.9710663,0.004223658,0.6624064,0.01331862,1.208271,4.684709,0.3744447,0.3278421
7.19731536439268,0.1737504,0.4269156,0.08644004,0.1567423,0.8875151,0.004041514,0.6285068,0.01185612,1.122289,6.489081,0.8348727,0.3062143
7.29727807778702,0.1583042,0.3988998,0.08242778,0.1448475,1.501277,0.003867225,0.5963421,0.01055421,1.042426,6.117054,0.7514707,0.8339087
7.39724079118136,0.1442311,0.3727224,0.07860175,0.1338553,1.372107,0.003700452,0.5658235,0.009395258,0.9682456,5.766356,0.8621638,0.7788957
7.49720350457571,0.1314091,0.3482629,0.07495331,0.1236973,1.25405,0.003540872,0.5368667,0.008363572,1.007695,5.435763,0.7760356,0.7275118
7.59716621797005,0.119727,0.3254086,0.07147422,0.1143101,1.14615,0.003388173,0.5093918,0.007445175,1.189204,5.124124,0.6985114,0.6795178
7.69712893136439,0.1090834,0.304054,0.06815661,0.1056353,1.047535,0.003242059,0.483323,0.006627627,1.104579,4.830351,0.9437844,0.6346899
7.79709164475874,0.099386,0.2841008,0.06499301,0.09761888,0.9574043,0.003102246,0.4585883,0.005899853,1.025976,4.553421,2.810987,0.5928193
7.89705435815308,0.09055069,0.265457,0.06197624,0.09021077,0.8750286,0.002968463,0.7152089,0.005251995,0.9529664,4.292368,3.766892,0.553711
7.99701707154742,0.08250084,0.2480367,0.05909951,0.08336485,1.245249,0.02600911,0.6786071,0.004675278,0.8851524,4.046281,3.390588,0.5171826
8.09697978494176,0.3756758,0.2317595,0.0563563,0.07703846,1.138107,0.02488748,0.6438785,0.004161889,0.8221641,3.814303,3.051876,0.483064
8.19694249833611,0.3422786,0.2165506,0.05374042,0.07119216,1.040184,0.02381422,0.6109271,0.003704876,0.7636581,3.595624,2.747,0.4511962
8.29690521173045,0.3118504,0.2023397,0.05124597,0.06578953,0.9506855,0.02278724,0.7780172,0.003298047,0.7093155,3.389482,2.472581,0.4214307
8.39686792512479,0.2841273,0.1890614,0.04886729,0.06079689,0.8688879,0.02180454,0.7382011,0.002935891,0.7670067,3.195159,2.225576,0.3936289
8.49683063851914,1.569854,0.1766544,0.04659903,0.05618313,0.7941282,0.02086423,0.7004226,0.002613503,0.7124258,3.011976,2.003246,0.3676611
8.59679335191348,1.430296,0.1650617,0.04443606,0.05191951,0.7258009,0.01996447,0.6645775,0.002326516,0.6617289,2.839296,1.803126,0.3434065
8.69675606530782,1.303144,0.1542297,0.04237348,0.04797944,0.6633525,0.0191035,0.6305669,0.002071044,0.6146396,2.676516,1.622998,0.3207519
8.79671877870216,1.187296,0.1441085,0.04040664,0.04433837,0.8499453,0.01827967,0.5982968,0.001843624,0.5709012,2.523068,1.820488,0.2995919
8.89668149209651,1.081747,0.1346516,0.03853109,0.04097362,0.7768155,0.01749137,0.5676781,0.001641177,0.5302753,2.378417,1.638625,0.2798278
8.99664420549085,0.9855807,0.1258152,0.03674261,0.03786421,1.300551,0.01673706,0.5386264,0.001460961,0.4925404,2.242059,1.47493,0.2613675
9.09660691888519,0.8979637,0.1175587,0.03503713,0.03499077,1.188651,0.01601528,0.5110614,0.001300534,0.4574908,2.113519,1.327588,0.2441251
9.19656963227953,0.8181357,0.1098441,0.03341082,2.625471,1.086379,0.01532462,0.4849072,0.001157724,0.4249353,1.992348,1.194965,0.2280201
9.29653234567388,0.7454044,0.2888955,0.03186,4.157176,0.992906,0.01466375,0.4600914,0.001030595,0.3946965,1.878125,1.075591,0.2129776
9.39649505906822,0.6791387,0.2699371,0.03038116,8.596557,0.9074757,0.01403138,1.376513,0.0009174261,0.3666095,1.770449,0.9681416,0.1989274
9.49645777246256,0.618764,0.2522227,0.02897097,8.740814,1.464011,0.01342628,1.306068,0.0008166843,0.8490151,3.756827,0.8714265,0.1858042
9.59642048585691,0.5637566,0.2356709,0.02762623,8.077492,1.338047,0.01284728,1.239229,0.0007270049,0.7885984,3.541443,0.7843729,0.1735466
9.69638319925125,0.5136393,0.2202053,0.02634391,7.464507,1.22292,0.01229325,1.175809,0.0006471731,0.7324809,3.965307,0.7060158,0.1620978
9.79634591264559,0.4679773,0.2057545,0.02512111,6.89804,1.1177,0.0117631,1.115636,0.0005761075,0.6803569,5.192007,0.6354864,0.1514041
9.89630862603993,0.4263746,1.812949,0.02395507,6.374561,1.171094,0.01125582,1.058542,0.0005128456,0.631942,4.894342,0.5720028,0.141416
9.99627133943428,0.3884704,3.545828,0.02284315,5.890808,1.070333,0.01077042,1.004369,0.0004565305,0.5869724,5.426737,0.514861,0.1320868
10.0962340528286,0.3539358,3.313137,0.02178285,5.443767,0.9782404,0.01030595,0.9529693,0.0004063993,0.5452029,6.18901,0.4634275,0.123373
10.196196766223,0.3224713,3.095716,0.02077176,5.03065,0.8940719,0.009861507,0.9041998,0.0003617729,0.5064058,5.834186,0.4171322,0.1152341
10.2961594796173,0.293804,2.892563,0.0198076,4.648884,0.8171454,0.009436233,0.8579261,0.0003220469,0.4703695,5.499705,0.3754616,0.107632
10.3961221930117,0.2676851,2.702742,0.0188882,4.296089,0.7468377,0.009029298,0.8883634,0.0002866832,0.9822375,5.1844,0.3379538,0.1005315
10.496084906406,0.2438882,2.525377,0.01801147,3.970067,0.6825792,0.008639912,0.8429002,0.0002552028,0.9123405,4.887172,3.903632,0.09389947
10.5960476198003,1.087177,2.359652,0.01717544,3.668786,0.6238497,0.008267319,0.7997636,0.0002271792,0.8474174,5.713711,3.513668,0.0877049
10.6960103331947,3.195631,2.204803,0.01637821,3.390369,0.5701733,0.007910794,0.7588345,0.0002022328,1.165086,6.640991,3.162661,0.081919
10.795973046589,7.27807,2.060115,0.01561798,3.133081,0.5211152,0.007569643,0.7200001,0.0001800258,1.082178,6.260255,6.799014,0.0765148
10.8959357599834,11.45983,1.924922,0.01489305,2.895317,0.4762781,0.007243205,0.6831532,0.0001602573,1.005169,5.901347,6.119808,0.0714671
10.9958984733777,13.22505,1.798602,0.01420176,2.675597,0.4352988,0.006930844,0.6481919,0.0001426596,0.93364,6.379625,5.508453,0.06675241
11.0958611867721,12.04935,1.68057,0.1840966,2.472552,0.3978454,0.006631954,0.6150197,0.0001269943,0.8672013,6.013873,4.958171,0.06234875
11.1958239001664,10.97818,1.570285,0.1755514,2.284914,0.3636145,0.006345953,0.5835453,0.0001130491,0.8054904,6.452963,4.462861,0.05823559
11.2957866135607,10.00223,1.467237,0.1674029,2.111517,0.3323289,0.006072286,0.5536816,0.0001006353,0.7481709,7.281403,4.017031,0.05439378
11.3957493269551,9.113044,1.370951,0.1596326,1.951278,0.3037351,0.00581042,0.5253462,0.00008958462,0.6949303,6.86395,3.615738,0.05080542
11.4957120403494,8.302904,1.280984,0.2351592,1.803199,0.2776015,0.005559848,0.4984609,0.00007974741,0.6454784,6.470432,3.254534,0.04745378
11.5956747537438,7.564785,1.196921,0.2242439,1.666358,0.2537165,0.005320081,0.4729514,0.00007099042,0.6144004,6.099473,2.929414,0.04432325
11.6956374671381,6.892284,1.118374,0.2138352,1.539902,0.2318866,0.005090654,0.4487475,0.00006319502,0.5706791,5.749783,2.636772,0.04139924
11.7956001805325,6.279567,1.044982,0.2039097,1.423041,0.2119349,0.004871122,0.4257822,0.00005625563,0.5300691,5.420141,2.373364,0.03866813
11.8955628939268,5.721321,0.9764062,0.1944449,1.31505,0.1936999,0.004661056,0.456162,0.00005007825,0.4923488,5.109397,2.136271,0.03611718
11.9955256073211,5.212701,0.9123306,0.1854194,1.215253,0.1770338,0.00446005,0.4328173,0.0000445792,0.4573128,4.816469,1.922862,0.03373453
12.0954883207155,4.749298,0.8524599,0.1768128,1.12303,0.1618017,0.004267712,0.4106673,0.00003968399,1.430388,4.540335,1.730772,0.03150906
12.1954510341098,4.327091,0.7965182,0.1686057,1.037805,0.1478802,0.004083668,1.083064,0.00003532633,1.3286,4.280032,1.557872,0.0294304
12.2954137475042,3.942417,0.7442476,0.1607796,0.9590484,0.1686529,0.003907561,1.027637,0.00003144717,1.234056,4.034652,1.402244,0.02748888
12.3953764608985,3.591941,0.6954072,0.1533167,0.8862682,0.1541419,0.003739048,0.9750459,0.00002799398,1.146239,3.803341,1.262163,0.02567543
12.4953391742928,3.272621,0.6497719,0.1462002,0.819011,0.1408794,0.003577803,0.9251466,0.00002491999,1.064672,3.58529,1.136076,0.02398162
12.5953018876872,2.981689,0.6071313,0.1394141,0.7568579,0.1287581,0.003423512,1.843569,0.00002218355,0.9889086,3.379741,1.022584,0.02239955
12.6952646010815,2.71662,0.567289,0.1329429,0.6994214,0.1176796,0.003275874,1.749222,0.00001974759,0.918537,3.185976,0.9204305,0.02092185
12.7952273144759,3.162653,0.5300613,0.1267722,0.6463437,0.7202459,0.003134603,1.659703,0.00001757912,0.853173,3.00332,0.8284816,0.01954163
12.8951900278702,2.881496,0.4952766,0.1208878,0.597294,0.6582755,0.002999424,1.574766,0.00001564877,0.7924603,2.831136,0.7457182,0.01825247
12.9951527412646,2.625335,0.4627747,0.1152766,0.5519665,0.6016371,0.002870075,1.494175,0.0000139304,0.7360681,5.544738,0.6712226,0.01704835
13.0951154546589,2.391945,0.4324056,0.1099258,0.5100788,1.117875,0.002746304,1.417708,0.00001240071,0.6836888,5.473102,0.604169,0.01592367
13.1950781680532,2.470814,0.4040295,0.1048234,0.47137,1.021692,0.00262787,1.345155,0.000011039,0.6350368,6.369294,0.5438139,0.01487318
13.2950408814476,2.762931,0.3775155,0.09995785,0.4355986,0.9337848,0.002514544,1.276315,0.000009826816,0.589847,6.004134,0.4894881,0.01389199
13.3950035948419,2.517309,0.3527415,0.09531813,0.4025419,1.156018,0.002406105,1.210998,0.000008747741,0.5478729,6.871763,0.4405893,0.01297554
13.4949663082363,2.387486,0.3295932,0.09089378,0.3719938,1.056554,0.002302343,1.149023,3.398946,0.5088857,7.579032,0.3965755,0.01211954
13.5949290216306,2.175241,0.307964,0.08667478,0.3437639,0.965647,0.002203055,1.090221,7.804275,0.4726729,7.144516,0.3569584,0.01132001
