Time (s), Cell Name, Value
39.785086, C0, 4.823593
39.985011, C0, 3.595603
40.084973, C0, 3.194106
190.728501, C0, 2.652372
190.828464, C0, 3.16779
191.128351, C0, 5.569082
191.428239, C0, 7.075579
191.528201, C0, 6.236098
233.312538, C0, 4.78817
233.512463, C0, 4.163284
233.612425, C0, 4.585689
261.801858, C0, 3.050987
316.981173, C0, 3.786189
317.081135, C0, 3.793937
317.181098, C0, 6.322695
366.762511, C0, 2.649802
393.452506, C0, 3.965936
485.917843, C0, 2.748703
490.016307, C0, 3.38879
515.506751, C0, 3.651396
517.0061889999999, C0, 7.151442
517.106151, C0, 2.672859
553.092661, C0, 3.265645
553.192623, C0, 3.01132
553.592474, C0, 2.80361
559.79015, C0, 3.363337
566.2877140000001, C0, 3.704695
566.88749, C0, 4.517991
587.579733, C0, 4.091003
587.779658, C0, 4.296956
612.370439, C0, 4.639338
612.9702150000001, C0, 2.682629
613.0701769999999, C0, 2.746342
613.1701399999999, C0, 7.793813
613.56999, C0, 5.872096
613.669952, C0, 6.386017
613.769915, C0, 5.255102
614.969465, C0, 2.989728
615.069428, C0, 3.887554
616.468903, C0, 2.667093
633.36257, C0, 3.031699
633.462533, C0, 3.606615
633.862383, C0, 4.475841
633.962345, C0, 3.38169
639.960097, C0, 4.173678
640.060059, C0, 2.763783
642.259235, C0, 3.276236
642.45916, C0, 8.209451
649.156649, C0, 7.515736
656.054064, C0, 2.622002
657.753427, C0, 3.92566
657.853389, C0, 4.997167
665.8503909999999, C0, 2.603486
699.8376500000001, C0, 2.948797
700.1375379999999, C0, 2.644547
707.834652, C0, 4.367761
768.711831, C0, 3.808665
797.301114, C0, 2.721328
802.899015, C0, 2.867926
809.196655, C0, 2.866099
809.39658, C0, 3.472955
809.596505, C0, 5.405482
834.087324, C0, 2.798791
834.187286, C0, 4.77593
834.287249, C0, 3.837443
857.378593, C0, 6.5116
857.478555, C0, 3.682555
858.1782930000001, C0, 2.961761
964.338496, C0, 3.782644
964.538421, C0, 5.923018
967.937147, C0, 3.28847
985.5305519999999, C0, 4.72614
1029.114214, C0, 3.230624
1029.214176, C0, 2.812011
1041.109717, C0, 6.443974
1050.506194, C0, 5.603806
1060.802335, C0, 3.280954
1060.902297, C0, 3.432353
1061.00226, C0, 5.171894
1061.102222, C0, 4.390673
1061.202185, C0, 5.518753
1061.302147, C0, 3.083206
1061.701997, C0, 7.629947
1085.992891, C0, 3.933623
1086.192817, C0, 5.200653
1086.292779, C0, 2.643229
1107.484835, C0, 6.415763
1107.584797, C0, 4.579011
1132.775354, C0, 3.718319
1132.975279, C0, 3.336186
1133.774979, C0, 4.898336
1134.97453, C0, 5.604913
1169.361639, C0, 3.460387
1171.260927, C0, 3.130195
1191.453357, C0, 2.996238
1191.55332, C0, 4.252322
1201.349647, C0, 3.997047
1201.44961, C0, 2.887031
1201.84946, C0, 5.384001
1202.149348, C0, 3.849192
1202.24931, C0, 6.107444
1202.349273, C0, 4.86051
1212.54545, C0, 3.689669
1212.645413, C0, 2.539847
1212.745376, C0, 2.768431
1231.738256, C0, 3.031352
1239.335408, C0, 3.712888
1250.831098, C0, 3.732232
1250.931061, C0, 5.05767
59.577666, C1, 2.554909
65.77534300000001, C1, 2.636602
66.375118, C1, 3.229551
81.969272, C1, 3.264539
100.762227, C1, 2.607983
100.86219, C1, 2.72513
103.26129, C1, 3.459784
103.461215, C1, 4.749243
108.059492, C1, 2.849414
108.459342, C1, 4.31345
108.559304, C1, 3.549104
118.955407, C1, 2.609663
119.055369, C1, 3.425224
119.255295, C1, 2.848401
147.044877, C1, 2.871765
147.144839, C1, 4.365016
153.442479, C1, 3.921358
153.542441, C1, 2.587502
154.841954, C1, 3.995318
201.024641, C1, 5.097178
231.113362, C1, 3.087625
245.008153, C1, 2.528864
245.607928, C1, 3.06513
246.207704, C1, 3.156474
246.307666, C1, 4.864954
275.196836, C1, 2.643935
322.479112, C1, 2.586727
332.475364, C1, 3.677754
355.26682, C1, 2.747076
355.366783, C1, 3.65262
383.256328, C1, 2.99414
458.328186, C1, 3.883733
568.48689, C1, 2.527404
577.783405, C1, 4.109093
601.974337, C1, 2.979939
602.774037, C1, 3.540903
615.469278, C1, 3.857025
615.56924, C1, 3.622294
627.464781, C1, 3.108992
627.764668, C1, 3.108244
656.753801, C1, 3.973471
656.853764, C1, 2.650752
674.447169, C1, 4.446274
674.747056, C1, 4.075352
676.746307, C1, 3.089364
676.846269, C1, 5.033732
716.43143, C1, 4.778526
716.531392, C1, 2.666128
716.731317, C1, 3.957324
741.322099, C1, 2.557289
756.516403, C1, 4.072845
758.215766, C1, 4.545144
760.215017, C1, 4.158062
760.414942, C1, 4.003341
761.614492, C1, 4.998791
762.71408, C1, 4.314062
763.013967, C1, 4.529321
780.007597, C1, 3.527601
811.5957550000001, C1, 3.296716
811.6957180000001, C1, 2.989303
822.891521, C1, 2.65865
823.091446, C1, 2.914762
844.183539, C1, 2.564232
846.282752, C1, 3.310599
863.676232, C1, 3.637198
868.974246, C1, 3.215633
869.074208, C1, 2.592856
869.174171, C1, 2.539998
873.472559, C1, 2.564377
873.572522, C1, 2.682168
874.772072, C1, 3.293244
904.161055, C1, 3.396347
904.261018, C1, 2.607787
953.642506, C1, 3.978606
954.242281, C1, 3.431085
976.633887, C1, 2.668236
990.428716, C1, 3.076305
990.828566, C1, 2.65497
990.928528, C1, 3.776505
991.028491, C1, 2.52198
1004.923282, C1, 5.195045
1015.219422, C1, 2.752286
1015.419348, C1, 3.298599
1018.218298, C1, 3.035966
1018.318261, C1, 2.671034
1018.518186, C1, 3.56209
1022.316762, C1, 4.066849
1022.416724, C1, 2.681461
1046.107843, C1, 4.283936
1046.407731, C1, 3.223321
1053.90492, C1, 2.508024
1082.594166, C1, 2.642462
1082.794091, C1, 4.819105
1083.193941, C1, 2.779915
1083.293903, C1, 4.035742
1083.693753, C1, 2.73592
1084.493454, C1, 3.065702
1084.793341, C1, 2.807546
1084.993266, C1, 4.194184
1087.992142, C1, 2.567287
1131.275916, C1, 4.042825
1131.775729, C1, 3.185575
1189.654032, C1, 3.768211
1197.051259, C1, 3.721356
1230.138855, C1, 4.089866
1230.33878, C1, 3.228549
1230.438743, C1, 2.683647
1235.336907, C1, 3.817062
1244.333534, C1, 3.883128
2.499063, C2, 6.752427
2.599026, C2, 2.595644
2.698988, C2, 5.709911
21.991756, C2, 3.325737
22.091718, C2, 2.754663
40.984636, C2, 2.8834
41.084599, C2, 3.375117
41.184561, C2, 5.037269
41.284524, C2, 4.945598
41.384486, C2, 4.098921
41.484449, C2, 5.298357
41.584411, C2, 6.039495
48.481826, C2, 5.496743
48.581788, C2, 3.659939
48.681751, C2, 3.053379
48.781713, C2, 3.998165
48.881676, C2, 3.975219
49.281526, C2, 4.072262
49.381488, C2, 3.246702
49.481451, C2, 6.801773
49.581413, C2, 5.059961
57.578415, C2, 3.744462
57.678378, C2, 4.029204
57.778341, C2, 2.557721
57.878303, C2, 3.050594
57.978266, C2, 4.878726
58.078228, C2, 2.630589
58.178191, C2, 4.617811
58.278153, C2, 4.697559
64.675755, C2, 5.736555
74.572045, C2, 2.861479
74.67200800000001, C2, 3.361935
74.77197, C2, 3.36934
88.166949, C2, 4.526118
88.26691099999999, C2, 2.771848
88.366874, C2, 4.661593
88.466836, C2, 4.135648
105.760353, C2, 2.673587
105.860316, C2, 3.062944
105.960278, C2, 4.438727
106.060241, C2, 5.209705
111.358255, C2, 4.12028
111.458217, C2, 5.056849
114.657018, C2, 3.767845
114.756981, C2, 2.784233
114.856943, C2, 5.898569
145.845327, C2, 2.883293
145.945289, C2, 4.503961
146.145214, C2, 4.382289
146.245177, C2, 6.457735
146.345139, C2, 3.548897
146.445102, C2, 4.546352
146.545064, C2, 5.628153
146.645027, C2, 5.875319
176.733747, C2, 6.17235
177.433485, C2, 5.823588
