 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, rejected, accepted, accepted, rejected, accepted, accepted, accepted
0, 1.406855, 3.560519, 0.3236438, -0.2127267, 0.7946635, 0.1772888, -0.1223304, 1.904737, 2.485226, 4.144499, 1.043444, 1.446992, -1.624434, -2.581201, 15.80446, 1.715212
0.09994599999999999, 1.157336, 4.828519, 0.4855625, -0.47337, -0.01260664, 3.67073, -1.649526, 1.309869, 1.955418, 3.33535, -0.3702254, 0.2396758, -0.818128, -0.6033399, 16.14961, 1.307781
0.199892, 1.086937, 5.948853, 1.845921, -0.3689002, 3.346472, 0.9419396, -0.04942293, 2.09177, 2.808362, 2.997937, -0.5259908, -0.1035306, -1.398897, -1.238229, 16.47113, 2.167316
0.299838, -0.1459267, 4.441222, 0.1929516, 0.4601747, -0.1783158, 1.489803, -2.337806, 0.2021693, 1.4018, 3.335037, 0.9288223, 0.8114952, 0.3405766, -1.916826, 13.58636, -0.7649712
0.399784, 1.843673, 3.918713, 0.7682967, 0.6176814, 0.9813637, -1.289903, -0.606252, 1.598267, 2.101409, 2.591248, -0.01861032, -1.182046, 1.223039, -2.896192, 14.40752, -0.07944864
0.49973, -0.5351314, 4.829417, 0.5520606, -1.210985, 1.399672, -0.7774736, -2.250248, 2.670598, 1.850888, 1.186158, -0.07227292, -0.01002751, 0.3786953, -2.557568, 13.27142, 1.289464
0.599676, -1.150383, 2.997749, -0.1498974, 0.1035014, 0.9201502, 0.8132214, -2.134142, 0.5947922, 3.065373, 1.396814, -0.7955412, 0.4070441, -1.305534, -2.830153, 12.70783, 1.127141
0.699622, -1.209156, 4.061761, -0.5438996, 0.9721515, 2.620163, 3.063743, -0.4497316, 2.303719, 2.60082, 2.901237, 0.1515493, -0.7994421, -1.76534, -1.91845, 10.93733, 2.709151
0.7995679999999999, -0.9762592, 4.500428, -1.187639, 0.6884851, 1.988987, -0.2375372, -1.920697, 0.8977866, 2.615206, 0.7353324, -0.4310306, 1.513254, -0.6656145, -2.626267, 13.41118, 2.676712
0.899514, -0.4102513, 3.679353, 0.3985101, 0.4868964, -0.805361, -0.3975261, 0.7924139, -1.498602, 0.5559986, 1.097753, 1.117808, -0.4855271, 1.318242, -0.5349967, 14.01031, 1.462034
0.99946, -0.02183139, 5.35418, -0.429913, 0.4848072, 0.2776525, 0.810509, -0.9117261, 1.873357, 1.990133, 0.6292618, -0.1474651, 0.2734308, -0.5560339, -2.696128, 12.10702, 3.492824
1.099406, 0.1388123, 2.949312, 0.03858468, -0.2143808, -0.4024716, -0.7045597, -1.570351, 2.227393, 1.261664, 0.8973997, -0.9620867, 2.016484, -1.956452, -1.538874, 9.621384, 1.731671
