 , C00, C05, C06, C07, C08, C09, C10, C11, C12, C13, C14, C15, C16, C19, C20, C21, C22, C23, C25, C26, C27, C28, C29, C30, C31
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.09996245609426599, 0, 3.27401, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.033178, 0.7751877, 0, 0, 0.6049339, 0.2712483, 0, 0, 1.957591, 0, 0, 0, 0.6772881, 1.343569
0.199924912188532, 0.4814742, 3.293858, 0, 0, 0.194468, 0, 0, 0, 0, 0, 0.8714757, 1.849563, 0.7219362, 0, 0, 0.5523184, 0.250736, 0, 0.4094203, 1.838568, 0, 0, 0, 1.582726, 1.207826
0.2998873682827979, 0.5146945, 3.144146, 0, 0, 0.7883798, 0, 0, 0, 0, 0, 1.824557, 1.719278, 0.6723428, 0.8689785, 0, 0.5042793, 0.4168175, 0, 0.3783226, 1.726782, 0, 1.057746, 0, 1.463547, 1.24277
0.399849824377064, 0.4836591, 5.607458, 0, 0, 0.7251636, 2.980232e-08, 0, 0, 0, 0, 2.190835, 2.248207, 0.6261562, 0.8618643, 0, 0.4604185, 0.6404922, 0, 0.3495872, 1.621792, 0, 1.143677, 0, 1.353343, 1.117211
0.4998122804713299, 0.4544953, 5.352591, 0, 0, 0.6670163, 0, 0, 0.6318746, 0.4134316, 0, 2.014112, 2.184663, 0.5831425, 0.8147452, 0, 0.7834529, 0.9227531, 2.247823, 0.3230345, 1.523185, 0, 1.09242, 0, 1.251437, 1.121357
0.5997747365655959, 0.42709, 5.109306, 0, 0, 0.6135315, 0, 0, 0.5824587, 0.3667336, 0, 1.851644, 3.614781, 1.545942, 0.7702019, 0, 0.7153104, 0.8529721, 2.115866, 0.2984986, 1.430575, 0, 1.04346, 0, 1.157205, 1.008065
0.6997371926598619, 0.4013371, 4.877081, 0, 0, 0.5643355, 0, 0, 0.5369076, 0.3253102, 0, 2.766638, 3.360152, 1.439743, 0.7920802, 0, 0.9438164, 0.788468, 1.991655, 0.2758262, 2.422174, 0, 0.9966941, 0, 1.070068, 0.9062185
0.7996996487541279, 0.3771372, 6.84371, 0, 0, 0.5190842, -1.490116e-08, 0, 1.04741, 0.8533922, 0, 8.177025, 3.548234, 1.34084, 0.748776, 0, 0.8617259, 0.728842, 1.874736, 0.2548759, 2.274904, 0, 1.881336, 0, 0.9894929, 0.814662
0.8996621048483939, 0.3543964, 6.532654, 0, 0, 0.4774614, 0.9321067, 0, 0.9654974, 0.7569996, 2.980232e-08, 11.46057, 3.384065, 1.248731, 0.9295802, 0, 0.7867754, 0.673725, 1.764681, 0.8760877, 2.136587, 0, 1.797019, 0, 0.9149847, 1.418858
0.9996245609426598, 0.3330269, 6.235735, 0, 0, 0.4391761, 0.8834771, 0, 1.254788, 0.6714948, 0.328372, 12.11046, 4.455131, 1.16295, 1.24744, 0, 0.7183439, 0.6227762, 1.661086, 0.8095448, 2.006681, 0, 1.71648, 0, 0.846087, 1.275509
1.099587017036926, 0.3129459, 5.952312, 0, 0, 0.4039608, 0.8373846, 0, 1.156657, 0.595648, 0.2957448, 11.13357, 4.141307, 1.083061, 1.179241, 0, 0.6558644, 0.5756801, 1.916607, 0.7480557, 1.884673, 0, 1.639551, 0, 1.608472, 1.146642
1.199549473131192, 0.2940758, 9.237516, 0, 0, 0.3715692, 0.7936968, 0, 1.066201, 0.6753519, 0.2663595, 10.23549, 3.932668, 2.088759, 1.516151, 0, 0.5988191, 0.8936137, 2.948052, 1.44957, 1.770083, 0, 1.56607, 0, 1.487355, 1.030795
1.299511929225458, 0.2763435, 8.817657, 0, 0, 0.3417749, 0.7522883, 0, 0.9828183, 0.5990694, 0.2398939, 9.409845, 3.655646, 1.945271, 2.034697, 0, 0.5467355, 1.085575, 2.774988, 1.339468, 1.662461, 0, 1.495882, 0, 1.375358, 0.9266527
1.399474385319724, 0.2596804, 8.416882, 0, 0, 0.3143696, 0.7130401, 0, 0.905957, 0.5314031, 0.2160579, 8.650803, 5.379124, 2.111093, 1.923457, 0, 0.499182, 1.003481, 2.612084, 1.237729, 1.561382, 0, 1.42884, 0, 1.271794, 0.8330317
1.49943684141399, 0.2440222, 8.171648, 0, 0, 0.2891619, 0.6758397, 0.6294569, 1.44248, 0.9264625, 0.1945903, 7.952988, 5.000212, 1.966072, 1.818299, 0, 0.4557646, 0.9275952, 2.458743, 1.143717, 2.113502, 0, 1.364802, 0, 1.593361, 0.7488694
1.599399297508256, 0.229308, 9.777267, 0, 0, 0.2659754, 0.9600937, 0.572319, 1.340527, 0.8218164, 0.1752557, 7.361601, 4.647992, 1.831013, 1.71889, 0, 0.4161234, 0.857448, 2.314404, 1.056846, 2.244621, 0, 1.303635, 0, 1.473382, 0.67321
1.699361753602522, 0.2154811, 9.332878, 0, 0, 1.12231, 0.910004, 0.5203677, 1.235691, 0.9859592, 0.1578422, 6.907474, 5.673285, 2.048618, 1.624916, 0, 0.3799302, 0.7926055, 2.865213, 0.9765735, 2.108146, 0, 1.422932, 0, 1.362437, 0.6051947
1.799324209696788, 0.2024879, 8.908684, 0, 0, 1.032318, 0.8625275, 0.6086075, 1.139054, 0.874593, 0.142159, 7.956963, 8.444621, 1.940325, 1.53608, 0, 0.3468849, 0.7326665, 3.374618, 1.36061, 1.979969, 0, 1.403445, 0, 1.259847, 0.5440511
1.899286665791054, 0.1902782, 8.503772, 0, 0, 0.9495412, 0.8175279, 0.5533622, 1.049974, 0.7758057, 0.128034, 7.315116, 7.849773, 1.839481, 3.043836, 0, 0.3167139, 0.9604272, 3.176513, 1.257265, 2.360719, 0, 1.340545, 0, 1.906938, 0.8564136
1.99924912188532, 0.5960365, 9.684605, 0, 0, 0.8734021, 0.7748761, 0.5031316, 0.9678606, 0.6881768, 0.1153125, 6.787163, 7.296825, 1.713118, 2.877426, 0, 0.289167, 0.887797, 2.990037, 1.328419, 2.217186, 0, 1.280465, 0, 1.763347, 0.7698889
2.099211577979586, 0.5600964, 9.772838, 0, 0, 0.8033683, 0.7344495, 0.4574607, 1.36941, 0.6104457, 0.103855, 6.691938, 6.782829, 1.595436, 2.720113, 0, 0.2640161, 0.8206594, 2.814509, 1.22752, 2.082379, 0, 1.223077, 0, 1.630569, 0.692106
2.199174034073851, 0.5263235, 9.32865, 0, 0, 0.7389503, 0.696132, 0.4159355, 1.353568, 0.5414945, 0.09353594, 6.152135, 6.305039, 1.485837, 2.571401, 0, 0.9617118, 0.7585989, 2.649285, 1.134283, 1.955768, 0, 1.168261, 0, 1.507788, 0.6221816
2.299136490168117, 0.4945871, 9.290696, 0, 0, 0.6796975, 0.6598136, 0.3781796, 1.885894, 0.4803315, 0.08424217, 5.655875, 5.860905, 2.554978, 2.430819, 0, 0.8780648, 0.7012317, 2.49376, 1.048129, 1.836856, 0, 1.702412, 0, 1.529866, 0.5593218
2.399098946262384, 0.4647642, 10.15039, 0, 0.2631658, 0.6251959, 0.6253901, 0.343851, 1.738408, 0.426077, 0.07587183, 5.199646, 5.448056, 2.379464, 2.859289, 0, 0.8016932, 0.6482027, 2.581524, 0.9685185, 1.786734, 0, 1.626114, 0, 1.893758, 0.5028127
2.49906140235665, 0.4367397, 9.689039, 0, 0.2305576, 0.5750645, 0.5927624, 0.3126385, 1.602456, 0.3779506, 0.06833318, 4.780218, 5.064289, 2.216007, 2.702968, 0, 0.7319642, 0.5991838, 3.137386, 0.8949547, 1.678099, 0, 1.553235, 0, 1.75116, 0.4520129
2.599023858450916, 0.410405, 9.248657, 0, 0.2019897, 0.528953, 0.561837, 0.2842592, 1.71172, 0.3352603, 0.06154357, 4.394623, 6.839225, 2.063778, 2.555193, 0, 0.6683, 0.5538719, 2.953207, 0.8269786, 2.035079, 0, 2.376008, 0, 1.619298, 0.4063454
2.698986314545182, 0.3856583, 10.90287, 0, 0.1769617, 0.4865388, 0.5325249, 0.2584561, 1.577854, 0.2973919, 0.05542858, 4.040132, 6.357463, 1.922007, 2.415497, 0, 2.601732, 0.5119866, 2.779841, 0.7641655, 1.911345, 0, 2.379002, 0, 1.969526, 0.3652918
2.798948770639448, 0.3624037, 10.72154, 0, 0.1550348, 0.4475257, 0.5047422, 0.2349952, 1.491384, 0.2638008, 0.04992117, 3.714236, 6.501571, 1.979767, 2.283438, 0, 5.266928, 3.730345, 2.616652, 0.7061235, 1.795133, 0, 2.27238, 0, 4.538753, 0.3283859
2.898911226733714, 0.3405513, 10.23423, 0, 0.1358248, 0.4116408, 0.478409, 0.2136639, 1.37475, 0.2340039, 0.04496098, 3.414629, 6.043593, 1.843767, 2.1586, 0, 9.783087, 3.797931, 2.463042, 0.6524899, 2.24836, 0, 2.170537, 0, 4.196988, 0.2952086
