 , C00, C01, C02, C05, C06, C07, C08, C11, C15, C16, C20
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.0999626472928694, 0, 0, 0, 0, 0, 0, 0, 1.076425, 0, 0, 0
0.1999252945857388, 0, 0, 0, 0, 0, 0, 0, 1.015521, 0, 0, 0
0.2998879418786082, 2.980232e-08, 0, 0, 0, 0, 0, 0, 0.9580629, 0, 0, 0
0.3998505891714776, 2.980232e-08, 0, 0, 0, 0, 0, 0, 0.903856, 0, 0, 0
0.499813236464347, 0, 0, 0, 0, 0, 0, 0, 0.8527157, 0, 0, 0
0.5997758837572165, 0, 0, 0, 0, 0, 0, 0, 0.8044693, 0, 0, 0
0.6997385310500858, 0, 0, 0, 0, 0, 0, 0, 0.7589526, 0, 0, 0
0.7997011783429552, 0, 0, 0, 0, 0, 0, 0, 0.7160115, 0, 0, 0
0.8996638256358246, 1.490116e-08, 0, 0, 0, 0, 0, 0, 0.6754997, 0, 0, 0
0.999626472928694, 1.490116e-08, 0, 0, 0, 0, 0.4139999, 0, 0.63728, 0, 0, 0
1.099589120221564, 1.490116e-08, 0, 0, 0, 0, 0.3683307, 0, 0.6012228, 0, 0, 0
1.199551767514433, 1.490116e-08, 0, 0, 0, 0, 0.3276995, 0, 0.5672058, 0, 0, 0
1.299514414807302, 1.490116e-08, 0, 0, 0, 0, 0.6489359, 0, 0.5351133, 0, 0, 0
1.399477062100172, 1.490116e-08, 0, 0, 0, 0, 0.5773505, 0, 0.5048367, 0, 0, 0
1.499439709393041, 0, 0, 0, 0, 0, 0.5136619, 0, 0.4762731, 0, 0, 0
1.59940235668591, 1.490116e-08, 0, 0, 0, 0, 0.4569988, 0, 0.4493257, 0, 0, 0
1.69936500397878, 0, 0, 0, 0, 0, 0.4065864, 0, 1.281581, 0, 0, 0
1.799327651271649, 7.450581e-09, 0, 0, 0, 0, 0.3617351, 0, 1.20907, 0.8462867, 0, 0
1.899290298564519, 0, 0, 0, 0, 0, 0.3218314, 0, 1.140661, 1.216883, 0, 0
1.999252945857388, -7.450581e-09, 0, 0, 0, 0, 0.2863295, 0, 1.076123, 3.169979, 0, 0
2.099215593150257, 0, 0, 0, 0, 0, 0.254744, 0, 1.015236, 4.834676, 0, 0
2.199178240443127, 0, 0, 0, 0, 0, 0.2266427, 0, 0.957794, 4.472933, 0, 0
2.299140887735996, 0, 0, 0, 0, 0, 0.2016413, 0, 1.382959, 4.186289, 0, 0
2.399103535028866, 0, 0, 0, 0, 0, 0.1793978, 0, 1.304711, 3.87306, 0, 0
2.499066182321735, 0, 0, 0, 0, 0, 0.1596081, 0, 1.230891, 3.583268, 0, 0
2.599028829614604, -7.450581e-09, 0, 0, 0, 0, 0.1420014, 1.496884, 1.161247, 3.315158, 0, 0
2.698991476907474, 0, 0, 0, 0, 0, 0.126337, 2.380537, 2.359011, 11.02872, 0, 0
2.798954124200343, 0, 0, 0, 0.1008867, 0, 0.1124005, 2.237342, 2.225538, 19.58863, 0, 0
2.898916771493213, -7.450581e-09, 0, 0, 0.09141898, 0, 0.1000014, 2.10276, 2.099618, 26.19862, 0, 0
2.998879418786082, -3.72529e-09, 0, 0, 0.08283974, 0, 0.08897004, 1.976274, 1.980822, 34.48619, 0, 0
3.098842066078952, -3.72529e-09, 0, 0, 0.07506562, 0, 0.07915559, 1.857396, 1.868748, 41.67078, 0, 0
3.198804713371821, -7.450581e-09, 0, 0, 0.06802107, 0, 0.07042378, 2.13929, 1.763014, 43.86514, 0, 0
3.29876736066469, -7.450581e-09, 0, 0, 0.06163761, 0, 0.0626552, 2.010606, 1.663263, 44.35291, 0, 0
3.39873000795756, -7.450581e-09, 0, 0, 0.05585321, 0, 0.05574358, 1.889663, 1.569156, 41.03431, 0, 0
3.498692655250429, -7.450581e-09, 0, 0, 0.05061165, 0, 0.0495944, 1.775995, 1.480374, 39.01959, 0, 0
3.598655302543298, -7.450581e-09, 0, 0, 0.04586198, 0, 0.04412355, 1.669165, 1.396614, 36.10004, 0, 0
3.698617949836168, -7.450581e-09, 0, 0, 0.04155805, 0, 0.03925619, 1.56876, 1.317594, 33.39894, 0, 0
3.798580597129037, -7.450581e-09, 0, 0, 1.043115, 0, 0.03492577, 1.474396, 1.243045, 31.36487, 0, 0
3.898543244421907, -3.72529e-09, 0.4159197, 0, 0.9452232, 0, 0.03107304, 1.385707, 1.172714, 30.2815, 0, 0
3.998505891714776, -3.72529e-09, 0.7722052, 0, 0.8565184, 0, 0.02764531, 1.302353, 1.106362, 28.01576, 0, 0
4.098468539007645, -3.72529e-09, 0.6973091, 0, 0.7761381, 0, 0.0245957, 1.224014, 1.043764, 26.9312, 0, 0
