Time (s), Cell Name, Value
35.086889, C00, 3.32905
35.286814, C00, 2.584396
116.556447, C00, 2.65802
116.656409, C00, 3.808154
117.05626, C00, 4.277645
265.900642, C00, 2.711364
266.000604, C00, 2.527863
266.100567, C00, 3.192547
433.538001, C00, 3.448268
433.637964, C00, 3.4717
433.837889, C00, 3.982707
566.688248, C00, 3.601498
566.8881730000001, C00, 4.15288
581.582682, C00, 4.486934
581.782607, C00, 5.042971
790.204727, C00, 3.190222
790.6045769999999, C00, 4.912531
790.70454, C00, 2.821315
1001.325838, C00, 5.137086
1001.425801, C00, 2.493407
1001.625726, C00, 3.010916
1079.696553, C00, 3.430991
1079.796516, C00, 3.464085
1080.196367, C00, 3.819429
1080.296329, C00, 4.569675
1264.727414, C00, 3.273055
1264.927339, C00, 3.184497
1446.048241, C00, 3.5229
1446.148165, C00, 3.761963
1446.647785, C00, 2.581314
1468.531144, C00, 4.278066
1468.93084, C00, 4.921255
1469.030764, C00, 3.805194
1469.130688, C00, 5.256289
1491.813439, C00, 4.379106
1492.013287, C00, 5.450916
1507.501509, C00, 2.673178
1507.701357, C00, 4.546628
1508.101053, C00, 3.959557
1512.797482, C00, 4.374009
1512.897406, C00, 3.557405
1512.99733, C00, 5.514136
1538.078257, C00, 3.210453
1540.976054, C00, 3.940651
1541.37575, C00, 3.950493
1541.475674, C00, 4.590238
1551.268227, C00, 2.790985
1551.468075, C00, 2.976192
1551.567999, C00, 2.96755
1551.767847, C00, 6.993012
1551.867771, C00, 3.21871
1551.967695, C00, 3.063183
1554.56572, C00, 3.263787
1577.648167, C00, 4.126292
1578.147787, C00, 2.691218
1578.247711, C00, 5.188115
1578.647407, C00, 4.722049
1592.237073, C00, 3.117638
1592.336997, C00, 2.676935
1592.436921, C00, 3.135941
1592.836617, C00, 6.352626
1593.136389, C00, 3.400673
1613.520888, C00, 3.471026
1613.82066, C00, 4.22063
1619.016709, C00, 4.644873
1619.116633, C00, 5.861252
1619.216557, C00, 4.395419
1619.316481, C00, 3.119223
1643.598016, C00, 3.938164
1643.69794, C00, 5.455249
1643.897788, C00, 3.345536
1664.382211, C00, 2.744962
1664.482135, C00, 4.726474
1664.781907, C00, 3.735861
1731.930844, C00, 3.366674
1732.33054, C00, 4.064045
1737.526589, C00, 4.667973
1737.626513, C00, 3.131903
1737.726437, C00, 2.820712
1737.826361, C00, 4.532527
1738.825601, C00, 2.663177
1746.819522, C00, 6.374066
1747.01937, C00, 2.892656
1747.119294, C00, 3.180957
1768.802805, C00, 4.477251
1768.902729, C00, 4.796153
1769.002653, C00, 4.032935
1773.099538, C00, 2.612461
1811.870055, C00, 5.875819
1815.167548, C00, 4.305145
1815.267472, C00, 2.859591
1815.367396, C00, 4.120002
1815.567244, C00, 7.039889
1815.867016, C00, 2.854595
1840.648171, C00, 2.54543
1841.147791, C00, 5.445922
1861.931986, C00, 3.158426
1862.03191, C00, 2.746005
1862.231758, C00, 4.233582
1862.53153, C00, 7.046974
1862.731378, C00, 4.201962
1865.729099, C00, 4.155884
1865.829023, C00, 3.978219
1865.928947, C00, 7.599641
1866.028871, C00, 3.607222
1867.028111, C00, 2.54858
1869.126515, C00, 2.569993
1881.017473, C00, 4.607906
1881.317245, C00, 2.602191
