 , C00, C02, C05, C06, C07, C08, C09, C11, C12, C14, C15, C16, C17, C18, C23, C24
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.09996233244614489, 0, 0, 0, 0, 0, 0, 1.253893, 0, 0, 0, 0.9118459, 0, 0, 0, 0, 0
0.1999246648922898, 1.067657, 0, 0.07949805, 0, 0, 0.3323495, 5.441994, 0, 0, 0, 0.8749058, 0, 0, 0, 2.384186e-07, 0
0.2998869973384347, 0.9951143, 0, 0.9219687, 0, 0, 0.3132681, 5.684433, 0, 0, 0.4085256, 0.8394622, 0, 0, 0, 0.3915482, 0
0.3998493297845795, 0.9275011, 0, 1.028472, 0, 0, 0.2952821, 6.49086, 0, 0, 0.3592692, 0.8054544, 0, 0, 5.960464e-08, 0.3688211, 0.4464793
0.4998116622307244, 0.8644819, 1.192093e-07, 0.975935, 0, 0, 0.2783287, 10.26253, 5.960464e-08, 0, 0.3159516, 0.7728244, 0, 0, 0, 0.3474133, 1.087005
0.5997739946768693, 0.8057445, 1.192093e-07, 0.9260821, 0, 0, 0.2623488, 13.03553, 0, 0, 0.277857, 0.7415162, 0, 0, 0, 1.31287, 1.028772
0.6997363271230143, 0.7509981, 1.192093e-07, 0.8787756, 0, 0, 0.2472863, 14.93488, 0, 0, 0.2443554, 0.7114763, 0, 0, 0.2331008, 1.570986, 0.9736595
0.7996986595691591, 1.667426, 0.3056567, 0.8338858, 0, 0.2329601, 0.2330886, 14.18002, 0, 0, 0.3809537, 0.6826534, 0, 0, 0.2181852, 1.766953, 1.033126
0.899660992015304, 1.554132, 0.7982961, 0.8291862, 0, 0.216076, 0.2197061, 14.03969, -5.960464e-08, 0, 0.3350216, 0.6549982, 0, 0, 0.204224, 1.664392, 0.9777799
0.9996233244614489, 1.448536, 0.7774559, 0.7868294, 0, 0.2004156, 0.2070919, 13.87372, 0.1820975, 0, 0.2946277, 0.6284633, 0, 0, 0.1911561, 1.840702, 1.449766
1.099585656907594, 1.350115, 1.542129, 1.395065, 0, 0.1858902, 0.1952019, 13.17248, 0.8548933, 0, 0.2591041, 0.6030034, 0, 0, 0.1789245, 1.733861, 1.3721
1.199547989353739, 1.258382, 1.472922, 1.323802, 0, 0.1724176, 0.1839946, 12.5067, 0.7988558, 0, 0.2278636, 0.5785749, 0, 0, 0.1674755, 1.633221, 2.339356
1.299510321799884, 1.172881, 1.994317, 1.256179, 0, 0.1599214, 0.1734307, 11.96506, 0.7464914, 0, 0.2003898, 0.555136, 0, 0, 0.1567591, 2.829326, 2.214033
1.399472654246029, 1.326628, 1.904817, 2.241445, 0, 0.1483309, 1.454989, 11.36029, 0.6975594, 0, 0.5942904, 0.5326467, 0, 0, 0.1467284, 2.6651, 2.095424
1.499434986692173, 1.557776, 1.819333, 2.689467, 0, 0.1375804, 1.371453, 11.77641, 0.651835, 0, 0.5226361, 0.5110685, 0, 0, 0.1373396, 2.510407, 1.983168
1.599397319138318, 1.451932, 1.737685, 2.652637, 0, 0.1276091, 1.292712, 11.18119, 0.6091077, 0, 0.4596213, 0.4903644, 0, 0, 0.1285515, 2.364693, 2.102035
1.699359651584463, 1.353281, 1.659702, 2.517135, 0, 0.1183604, 1.218492, 10.61605, 0.5691811, 0, 0.4042042, 0.470499, 0, 0, 0.1203257, 3.170003, 2.378267
1.799321984030608, 1.261332, 1.585219, 2.883687, 0, 0.1097821, 1.148534, 10.07947, 0.5318717, 0, 0.3554688, 0.4514384, 0, 0, 0.1126263, 2.986003, 2.250859
1.899284316476753, 1.17563, 2.115992, 2.736382, 0, 0.1018255, 1.082592, 11.32239, 0.6297618, 0, 0.3126095, 0.4331501, 0, 0, 0.1054196, 2.812683, 2.130277
1.999246648922898, 1.095752, 2.021031, 2.596602, 0, 0.09444556, 1.020436, 10.75011, 0.5884814, 0, 0.2749178, 0.6467761, 0, 0, 0.09867403, 3.612001, 2.174918
2.099208981369043, 4.310047, 1.930332, 2.463961, 0, 0.0876005, 0.9618487, 10.20676, 0.5499069, 0, 0.2417706, 0.6205743, 0.8081174, 0, 0.09236008, 3.402346, 2.689098
2.199171313815187, 6.997386, 1.843704, 2.338097, 0, 0.08125154, 0.9066251, 10.94783, 0.5138609, 0, 0.21262, 0.7844886, 0.766711, 0, 0.08645014, 3.20486, 2.545038
2.299133646261332, 6.521947, 1.760962, 2.686121, 0, 0.07536273, 0.8545722, 10.55074, 0.4801777, 0, 0.1869842, 0.752708, 1.063228, 0, 0.08091839, 3.157746, 3.575733
2.399095978707477, 10.35109, 1.681935, 2.548908, 0, 0.06990071, 0.8055077, 10.01746, 0.4487024, 0, 0.2921703, 0.7222147, 1.227613, 0, 0.07574058, 3.076618, 3.594776
2.499058311153622, 12.25764, 1.606453, 2.418704, 0, 0.06483456, 0.7592603, 9.511143, 0.4192903, 0, 0.2569429, 0.9335781, 1.164713, 0, 0.07089409, 3.359777, 3.402198
2.599020643599767, 15.61748, 1.534359, 2.724894, 0, 0.0601356, 0.7156681, 9.257586, 0.3918061, 0, 0.225963, 0.8957576, 1.105035, 0, 0.06635772, 3.164762, 3.671766
2.698982976045912, 14.55635, 2.11045, 2.5857, 0, 0.05577719, 0.6745788, 9.593908, 0.3661236, 0, 0.1987184, 0.8594692, 1.048415, 0, 0.06211162, 3.666487, 4.063685
2.798945308492057, 13.56732, 2.015738, 2.483572, 0, 0.05173466, 0.6358485, 9.615012, 1.249318, 0, 0.1747587, 0.8246509, 0.9946964, 0, 0.05813724, 3.808953, 3.845987
2.898907640938202, 12.64548, 1.925276, 2.407949, 0, 0.04798513, 0.5993419, 9.129032, 1.167426, 0, 0.1536878, 0.7912432, 0.94373, 0, 0.05441715, 3.587866, 4.537365
2.998869973384346, 12.79635, 1.838874, 2.284945, 0, 0.04450734, 0.5649313, 8.667616, 1.676467, 0, 0.1351575, 0.8264151, 0.8953751, 0, 0.05093512, 3.379611, 4.294291
3.098832305830491, 11.9269, 1.75635, 2.645618, 0, 0.04128161, 0.5324963, 8.647698, 1.566576, 0, 0.1188614, 0.8347975, 0.8494977, 0, 0.04767589, 3.183445, 4.31197
3.198794638276636, 11.11652, 1.677529, 3.701422, 0, 0.03828967, 0.5019235, 8.255862, 1.463888, 0, 0.1045301, 0.8834129, 0.8059711, 0, 0.04462521, 3.708139, 4.080971
3.298756970722781, 10.36121, 1.602246, 3.512345, 0, 0.03551457, 0.4731061, 7.838579, 1.367931, 0, 0.4647482, 0.8476247, 0.7646747, 0, 0.04176974, 3.492904, 3.862346
3.398719303168926, 9.657216, 1.897889, 3.332927, 0, 0.03294061, 1.739636, 9.006697, 1.278264, 0, 1.023662, 0.8132862, 0.7254941, 0, 0.03909698, 3.290161, 3.655434
3.498681635615071, 9.829962, 1.812716, 3.338311, 0, 0.03055319, 1.946986, 8.938411, 1.194475, 0, 0.9002382, 0.7803388, 0.6883212, 0, 0.03659525, 3.138036, 3.902719
3.598643968061216, 9.162064, 1.731366, 3.167782, 0, 0.02833881, 1.835202, 8.486629, 1.116178, 0, 0.7916954, 1.266284, 0.6530529, 0, 0.03425359, 2.955892, 3.82952
3.698606300507361, 9.359371, 1.653666, 3.005965, 0, 0.02628492, 1.729835, 8.057682, 1.043013, 0, 0.6962397, 1.214986, 0.6195917, 0, 0.03206177, 3.540365, 3.624366
3.798568632953506, 8.723447, 1.579453, 2.852413, 0, 0.02437988, 1.630519, 8.071772, 0.9746447, 0, 0.6122932, 1.165765, 0.587845, 0, 0.03001021, 3.334868, 4.186988
3.89853096539965, 8.130731, 1.508571, 2.706706, 0, 0.02261292, 1.536904, 7.663793, 1.163701, 0, 0.5384683, 1.547283, 0.5577249, 0, 0.02808991, 3.141299, 4.124459
3.998493297845795, 10.3302, 1.44087, 2.568441, 0, 0.02097402, 1.448664, 7.276435, 1.316232, 0, 0.8438733, 1.4846, 0.5291481, 0, 0.0262925, 2.958965, 4.046586
