Time (s), Cell Name, Value
10.342157, C01, 5.998363
10.64193, C01, 4.390475
15.788028, C01, 3.980304
15.887952, C01, 4.041356
36.922002, C01, 3.983123
38.7706, C01, 4.961407
53.909121, C01, 3.97768
62.702453, C01, 4.352498
67.69866500000001, C01, 4.236961
74.19374000000001, C01, 8.113937
75.192982, C01, 4.990548
75.39283, C01, 6.507401
83.03703400000001, C01, 5.463607
83.286844, C01, 6.570728
86.43445800000001, C01, 5.966588
144.640321, C01, 4.243656
146.73873, C01, 4.002608
149.786419, C01, 4.013603
155.73191, C01, 4.356358
157.730395, C01, 4.27554
158.979448, C01, 6.519371
161.477554, C01, 4.783392
164.974902, C01, 5.174411
181.262551, C01, 4.012037
183.310998, C01, 4.772388
184.160354, C01, 4.545406
197.30039, C01, 4.137461
198.699329, C01, 4.208447
199.298874, C01, 4.397129
199.798495, C01, 6.587524
224.180007, C01, 4.830553
230.924893, C01, 4.375412
248.361671, C01, 3.994047
249.161064, C01, 7.839733
249.510799, C01, 4.194654
256.105798, C01, 6.237904
279.138333, C01, 5.991795
294.576627, C01, 4.137612
299.422952, C01, 4.190324
321.406282, C01, 5.360386
322.555411, C01, 6.081446
322.755259, C01, 7.630765
323.304842, C01, 12.96858
323.404767, C01, 5.30374
323.554653, C01, 4.384594
328.400978, C01, 8.891385
329.050486, C01, 5.471459
388.155667, C01, 4.147749
390.054227, C01, 5.666326
390.204114, C01, 4.341462
393.051954, C01, 4.050259
441.315357, C01, 4.394958
459.251756, C01, 5.196474
477.238117, C01, 4.214031
490.428115, C01, 6.506314
491.627206, C01, 4.077346
546.485608, C01, 5.426773
549.033676, C01, 4.211289
549.38341, C01, 4.971823
549.9829559999999, C01, 4.544324
550.382653, C01, 4.440336
583.707383, C01, 4.925085
593.050299, C01, 3.982014
594.299351, C01, 4.101218
598.496169, C01, 4.399242
603.792153, C01, 4.012555
609.487834, C01, 6.13905
622.727795, C01, 7.063803
650.556692, C01, 5.909471
690.076725, C01, 5.837522
690.476422, C01, 9.26226
712.259904, C01, 4.922421
727.748159, C01, 4.321132
740.488498, C01, 4.890787
745.884407, C01, 4.591833
756.926034, C01, 8.488522
794.897241, C01, 4.002875
805.838944, C01, 4.779572
840.7125, C01, 4.264593
840.962311, C01, 4.827486
851.80409, C01, 5.159681
896.570144, C01, 4.883124
922.600406, C01, 5.181891
922.950141, C01, 5.699707
926.897148, C01, 5.338614
928.2960870000001, C01, 5.258838
970.264263, C01, 5.529093
1008.93494, C01, 8.26075
1054.250577, C01, 6.04113
1087.575308, C01, 5.397098
1095.119587, C01, 4.685094
1095.41936, C01, 5.039642
1166.815221, C01, 5.341957
1174.859122, C01, 4.253986
1195.043816, C01, 5.109738
1199.840179, C01, 12.02596
1794.964708, C01, 3.686173
1795.164556, C01, 4.018225
1799.311411, C01, 3.904896
1799.960918, C01, 3.426202
1828.289429, C01, 3.459851
1829.138784, C01, 3.433206
1830.437799, C01, 3.562034
1839.780712, C01, 3.478261
1842.928324, C01, 3.635897
1862.463505, C01, 3.61047
1864.711799, C01, 3.372719
1866.810207, C01, 4.070035
1874.95403, C01, 4.301429
1876.502855, C01, 3.736772
1877.851832, C01, 3.607409
1881.299216, C01, 4.944797
1887.194744, C01, 3.712502
1896.987316, C01, 4.617925
1898.03652, C01, 3.549838
1898.885876, C01, 3.721219
1900.384739, C01, 3.61633
1901.733715, C01, 3.347211
1904.481631, C01, 3.486791
1904.631517, C01, 4.390042
1907.32947, C01, 3.559749
1912.925226, C01, 3.590284
1918.870715, C01, 4.768332
1920.019844, C01, 3.324879
1923.117494, C01, 3.668577
1923.317342, C01, 3.384824
1932.260558, C01, 3.340642
1935.508095, C01, 3.447862
1936.907033, C01, 3.50972
1938.955479, C01, 4.052411
1939.954721, C01, 4.006782
1942.05313, C01, 4.373336
