Time (s), Cell Name, Value
12.595268, C04, 3.849226
12.895155, C04, 4.43788
13.09508, C04, 6.288445
17.793314, C04, 3.228503
17.893277, C04, 2.713114
30.088695, C04, 2.59632
30.28862, C04, 4.68496
30.588507, C04, 3.766771
30.688469, C04, 2.692083
30.888394, C04, 3.341372
30.988357, C04, 5.022989
50.78092, C04, 2.881
51.080807, C04, 3.549086
51.280732, C04, 2.866582
105.860225, C04, 3.195419
164.938027, C04, 3.186028
165.03799, C04, 3.769092
195.526534, C04, 3.268531
280.494609, C04, 2.724711
280.594571, C04, 2.708879
280.794496, C04, 2.792851
280.994421, C04, 3.745222
281.194346, C04, 5.388396
360.664486, C04, 3.168218
360.764448, C04, 3.19222
405.947472, C04, 2.609284
451.830232, C04, 4.400858
452.030157, C04, 2.88619
452.230082, C04, 4.113311
452.330044, C04, 2.986727
510.008372, C04, 2.929564
510.508185, C04, 3.583248
510.708109, C04, 4.037539
510.808072, C04, 2.780729
584.980203, C04, 2.853577
585.380053, C04, 3.540766
647.556691, C04, 4.209253
647.856578, C04, 3.469378
698.537536, C04, 3.186227
698.7374600000001, C04, 2.887247
777.407901, C04, 3.41783
777.607826, C04, 4.298238
778.0076759999999, C04, 3.263243
799.199713, C04, 2.980792
799.299676, C04, 3.092761
799.499601, C04, 2.637448
826.189572, C04, 2.639155
826.389497, C04, 3.238055
888.965985, C04, 2.748537
889.3658349999999, C04, 2.833167
927.951337, C04, 3.411803
938.047543, C04, 2.747942
979.531956, C04, 2.741133
979.631919, C04, 3.267168
1088.391054, C04, 3.295396
1129.57558, C04, 2.922735
1129.875467, C04, 3.396774
1142.370772, C04, 3.600992
1142.67066, C04, 2.625855
1142.770622, C04, 5.117246
2000.37413, C04, 3.327581
2230.687311, C04, 3.645807
2358.339192, C04, 2.54213
2464.299249, C04, 2.546721
2464.499173, C04, 3.429006
2570.459231, C04, 2.463622
2625.038656, C04, 2.833835
701.236521, C05, 2.53045
715.931, C05, 3.127936
718.230136, C05, 2.569413
2024.864898, C05, 2.836441
2027.96373, C05, 2.758563
2028.563504, C05, 3.776567
2055.653292, C05, 2.718552
2144.81968, C05, 2.579836
2182.405512, C05, 2.562689
6.897408, C06, 4.125682
7.097333, C06, 3.884464
7.297258, C06, 2.919464
38.585502, C06, 2.836183
38.785427, C06, 3.823938
39.085314, C06, 3.423223
39.185277, C06, 3.063765
39.485164, C06, 2.900457
39.585127, C06, 4.332682
39.685089, C06, 2.4867
70.073671, C06, 2.472623
70.573483, C06, 3.59175
108.159361, C06, 3.634868
108.459248, C06, 2.862247
108.759135, C06, 3.143207
108.859098, C06, 6.638739
157.440844, C06, 3.700903
216.018834, C06, 4.947275
216.318722, C06, 3.105146
216.618609, C06, 2.594947
224.915492, C06, 3.988573
225.415304, C06, 2.774108
225.515266, C06, 4.311985
225.715191, C06, 3.933196
304.485594, C06, 3.17183
337.573162, C06, 2.669856
539.197405, C06, 3.019765
669.848315, C06, 2.518449
670.348127, C06, 3.433985
670.648015, C06, 2.466612
732.424803, C06, 3.546339
732.524765, C06, 2.998408
732.72469, C06, 2.566534
779.807, C06, 4.040439
780.006925, C06, 3.898404
780.306812, C06, 4.195494
780.506737, C06, 3.504899
874.371469, C06, 2.669181
903.260614, C06, 4.127987
903.460539, C06, 3.390692
903.560501, C06, 3.016008
904.0603139999999, C06, 4.07977
934.948708, C06, 3.104604
935.248595, C06, 2.792719
935.44852, C06, 4.70121
935.648445, C06, 3.306927
1032.312125, C06, 2.833185
1032.811937, C06, 2.60204
1982.780762, C06, 2.962455
1983.080649, C06, 3.383067
1983.180611, C06, 2.437868
1983.380536, C06, 5.051188
2108.733283, C06, 2.74101
2109.03317, C06, 3.205604
2109.133132, C06, 3.011508
2109.333057, C06, 2.595659
2109.433019, C06, 2.857207
2109.632944, C06, 3.151962
2138.422092, C06, 4.086802
2138.721979, C06, 3.275885
2139.021866, C06, 3.968839
2139.121828, C06, 4.415674
2219.291607, C06, 3.130182
2219.691456, C06, 3.258317
2219.891381, C06, 3.098285
2220.091306, C06, 3.778025
2222.090552, C06, 2.486598
2260.176195, C06, 2.567342
2260.37612, C06, 4.357542
2326.551174, C06, 3.524642
2327.150948, C06, 5.372442
2344.844279, C06, 3.444748
2345.044203, C06, 2.847315
2345.244128, C06, 3.932514
2511.281538, C06, 2.420333
2511.581425, C06, 3.626864
2511.681388, C06, 2.897066
2511.981275, C06, 3.086451
2518.478825, C06, 3.659897
2518.778712, C06, 4.837869
2518.978637, C06, 4.803614
2519.078599, C06, 3.225321
2519.178562, C06, 3.571035
2519.378486, C06, 3.314871
2519.578411, C06, 2.774012
2519.678373, C06, 3.212553
2519.878298, C06, 4.354237
2520.977883, C06, 3.475914
2522.277393, C06, 2.918335
2595.049961, C06, 2.925392
2595.249886, C06, 2.890722
2595.549773, C06, 3.562215
2595.649735, C06, 4.071379
2595.949622, C06, 3.986108
2611.643706, C06, 3.661654
12.795192, C07, 2.728794
13.794817, C07, 3.142865
18.792939, C07, 2.660781
19.192789, C07, 2.873132
19.392713, C07, 2.986947
23.891023, C07, 2.958052
25.39046, C07, 2.572978
88.86660999999999, C07, 3.246906
348.169181, C07, 2.71992
417.443152, C07, 2.70672
459.52734, C07, 2.773614
513.007246, C07, 2.829298
681.2440329999999, C07, 2.821128
684.342869, C07, 2.668894
685.342493, C07, 4.249889
688.441329, C07, 2.719989
689.141066, C07, 3.318568
691.74009, C07, 2.635166
692.339864, C07, 2.752486
693.239526, C07, 2.700799
702.436071, C07, 3.221205
703.63562, C07, 3.897971
703.835545, C07, 3.443748
844.882549, C07, 2.915788
913.75667, C07, 3.956644
994.226435, C07, 3.024338
1194.851054, C07, 2.937558
1969.585736, C07, 3.365468
1969.685699, C07, 2.591889
347.869294, C09, 2.609724
351.268017, C09, 2.760672
953.441759, C09, 2.691958
2061.750994, C09, 2.868712
2093.93886, C09, 3.075734
2110.33268, C09, 2.699908
2290.364815, C09, 3.98975
2290.764665, C09, 3.684339
2367.535725, C09, 3.053826
2367.735649, C09, 2.631113
16.39384, C10, 2.932176
755.416164, C10, 2.855253
1012.01975, C10, 2.69169
2009.470701, C10, 2.555474
2009.770588, C10, 3.09109
2100.536373, C10, 3.284909
2162.413048, C10, 2.8088
2163.81252, C10, 2.627423
2401.722838, C10, 2.859581
30.588507, C11, 3.256158
35.186779, C11, 2.820472
515.606269, C11, 3.35955
553.591997, C11, 3.708501
710.233141, C11, 3.292604
710.5330279999999, C11, 4.222653
781.506361, C11, 2.691087
973.634172, C11, 3.202265
1165.062246, C11, 3.227978
2148.918135, C11, 2.707556
2478.194011, C11, 3.259189
1997.77511, C12, 2.502268
1998.074997, C12, 2.874475
2022.665727, C12, 3.069048
2023.165539, C12, 3.421325
2220.591117, C12, 2.582151
1109.383167, C13, 4.247642
1982.280951, C13, 2.943031
1984.480122, C13, 2.929813
1984.680046, C13, 3.219764
2066.049373, C13, 4.042591
2066.34926, C13, 2.862414
2454.402979, C13, 2.7214
2455.30264, C13, 3.701278
2576.057121, C13, 2.478543
20.092451, C14, 2.978288
20.992113, C14, 3.248568
31.588131, C14, 2.840773
33.087568, C14, 3.030248
33.887267, C14, 3.52932
41.7843, C14, 3.669626
42.084188, C14, 3.636856
49.681333, C14, 3.746788
87.567098, C14, 2.777518
87.866985, C14, 3.376883
101.261952, C14, 2.685961
101.861727, C14, 2.980006
106.360037, C14, 4.503473
106.759887, C14, 2.605656
107.059774, C14, 3.429821
107.359661, C14, 3.627528
126.55245, C14, 2.56507
126.752375, C14, 2.829319
130.950797, C14, 3.0368
131.05076, C14, 2.626771
131.150722, C14, 3.080565
131.750497, C14, 3.514697
131.850459, C14, 4.354047
132.050384, C14, 3.896412
132.250309, C14, 4.022524
132.350271, C14, 2.584906
132.550196, C14, 3.531839
132.650159, C14, 2.694059
144.845577, C14, 4.22435
145.045501, C14, 2.827486
158.640393, C14, 3.13233
159.73998, C14, 2.945899
159.839943, C14, 3.034215
160.239792, C14, 5.004401
160.339755, C14, 3.480211
160.53968, C14, 5.11302
176.53367, C14, 3.301424
177.033482, C14, 2.833795
177.633257, C14, 2.662265
177.833182, C14, 2.738056
199.425069, C14, 2.969085
216.718571, C14, 2.513338
222.916243, C14, 2.679087
223.316093, C14, 2.797832
264.900468, C14, 2.520164
265.300318, C14, 2.796061
280.994421, C14, 3.887336
281.294308, C14, 2.736588
281.494233, C14, 2.709369
281.594195, C14, 2.668413
291.390515, C14, 3.171091
291.690402, C14, 3.0796
304.985407, C14, 2.881371
305.585181, C14, 2.665586
308.084242, C14, 2.672916
308.184205, C14, 2.91517
308.484092, C14, 4.978665
336.873425, C14, 3.194
337.373237, C14, 2.647034
337.673125, C14, 2.605678
339.272524, C14, 4.340858
339.572411, C14, 3.164097
348.768956, C14, 3.107261
351.967754, C14, 3.387832
352.067716, C14, 2.711787
352.267641, C14, 3.349084
352.567528, C14, 3.073737
352.667491, C14, 3.746207
352.867416, C14, 3.120039
353.067341, C14, 4.422153
353.167303, C14, 3.059793
353.367228, C14, 2.610893
377.658101, C14, 2.665905
380.257124, C14, 5.137201
380.956861, C14, 3.088989
381.156786, C14, 3.853927
390.653218, C14, 2.705624
396.750927, C14, 3.914855
397.150777, C14, 3.586301
397.250739, C14, 3.111205
397.650589, C14, 3.235845
397.850514, C14, 3.723215
429.038795, C14, 3.019756
429.138758, C14, 2.64486
429.338683, C14, 4.165645
429.838495, C14, 4.068579
429.938457, C14, 3.825722
464.925312, C14, 3.329349
465.824974, C14, 2.528733
480.119603, C14, 2.960427
480.41949, C14, 3.326427
480.519452, C14, 2.497626
497.013255, C14, 2.81764
497.712992, C14, 2.681111
525.9023999999999, C14, 3.738984
526.202288, C14, 3.230946
526.402213, C14, 3.978475
535.898645, C14, 2.830613
550.093311, C14, 4.372482
550.493161, C14, 2.609022
550.593123, C14, 3.375799
571.385311, C14, 2.859851
571.685198, C14, 2.626413
571.985086, C14, 2.863565
572.085048, C14, 3.735132
591.677686, C14, 3.207948
592.177499, C14, 4.405843
592.477386, C14, 2.574949
600.274456, C14, 2.691635
600.474381, C14, 2.801684
600.674306, C14, 3.230521
600.974193, C14, 2.978906
601.174118, C14, 3.806691
629.863339, C14, 2.497317
670.04824, C14, 3.330799
670.348127, C14, 2.698632
685.342493, C14, 3.83643
701.436446, C14, 3.087361
706.934381, C14, 2.783624
707.33423, C14, 4.039167
707.5341550000001, C14, 3.013916
727.826531, C14, 2.696682
731.825028, C14, 2.953617
732.224878, C14, 4.598934
732.424803, C14, 2.920742
732.524765, C14, 2.764646
732.624728, C14, 3.337534
732.824653, C14, 2.898943
733.024578, C14, 3.523586
773.409404, C14, 2.711637
776.008427, C14, 2.951444
776.408277, C14, 2.733386
776.608202, C14, 2.541935
795.6010649999999, C14, 2.963563
796.400765, C14, 3.694428
796.60069, C14, 3.425645
796.800615, C14, 4.391577
820.491713, C14, 2.54941
820.791601, C14, 2.784734
820.891563, C14, 2.905243
832.487206, C14, 2.787206
844.482699, C14, 4.4484
877.970117, C14, 3.171201
878.270004, C14, 3.113854
878.369966, C14, 3.506289
897.162905, C14, 2.522653
923.353065, C14, 2.804398
923.55299, C14, 2.65044
923.752914, C14, 3.06247
943.145628, C14, 2.661926
977.532708, C14, 2.910463
990.127975, C14, 2.514684
991.027637, C14, 3.772442
991.127599, C14, 2.523688
994.326398, C14, 3.21917
994.42636, C14, 3.511111
994.7262469999999, C14, 3.985112
1001.623656, C14, 4.531306
1002.123468, C14, 3.599011
1028.313627, C14, 2.630801
1029.613139, C14, 3.681565
1029.813064, C14, 2.579208
1071.897252, C14, 2.626333
1072.197139, C14, 3.21613
1072.596989, C14, 2.816057
1080.294097, C14, 2.521661
1080.593984, C14, 4.031897
1102.385796, C14, 3.657764
1102.485758, C14, 2.581152
1102.885608, C14, 3.15975
1116.680425, C14, 2.583176
1117.480124, C14, 3.604408
1117.780012, C14, 3.463258
1137.072763, C14, 4.58895
1158.764613, C14, 2.927504
1159.0645, C14, 2.91402
1159.264425, C14, 3.193733
1184.155072, C14, 2.74526
1184.654885, C14, 2.665804
1184.954772, C14, 3.708039
1185.354622, C14, 4.221819
1185.654509, C14, 3.685524
1185.854434, C14, 4.449553
1976.583098, C14, 2.525272
1980.381667, C14, 2.982034
1980.681554, C14, 3.522025
1980.881478, C14, 3.584619
1985.679669, C14, 3.46784
1986.079519, C14, 2.654819
1986.279443, C14, 2.711513
1988.078765, C14, 4.741041
2003.872811, C14, 2.726535
2027.363956, C14, 2.698829
2027.763805, C14, 2.56822
2027.96373, C14, 3.884553
2038.059924, C14, 2.864845
2038.359811, C14, 2.857485
2038.659698, C14, 4.132892
2061.15122, C14, 2.541897
2065.949411, C14, 4.293892
