 , C00, C01, C07, C08, C09, C10, C11, C13, C16, C19, C20, C23, C30, C33
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.09996229488565489, 0, 0, 0, 0.816657, 0.6265391, 0.9626348, 0.06870252, 0.4440395, 0, 1.26377, 0, 0.6717302, 0, 0
0.1999245897713098, 0, 0.1755889, 0, 0.7812169, 1.26965, 1.157184, 0.06551385, 0.4047082, 0, 1.190494, 0.9167061, 1.014561, 0.2634512, 0
0.2998868846569647, 0, 0.1640894, 0.03568905, 1.205761, 1.195469, 1.425454, 0.06247318, 0.3688608, 0.179623, 1.121467, 1.802604, 0.9478606, 0.2450358, 0
0.3998491795426196, -1.490116e-08, 0.1779623, 0.03390124, 1.153435, 1.125623, 1.354146, 0.05957365, 0.3361885, 0.1709645, 1.056441, 1.717649, 0.8855454, 0.2279077, 0
0.4998114744282744, -1.490116e-08, 0.1663074, 0.03220299, 1.10338, 1.059857, 1.286406, 0.05680871, 0.3674107, 0.2696713, 0.9951867, 1.736157, 0.8273271, 0.5298854, 0
0.5997737693139293, -1.490116e-08, 0.5023158, 0.0305898, 1.696004, 0.9979339, 1.290917, 0.05417204, 0.4578186, 0.2566722, 0.9374836, 1.654333, 0.7729361, 0.4928461, 0
0.6997360641995842, 0.5801305, 0.4694186, 0.02905743, 1.933687, 2.244672, 2.738699, 0.05165774, 0.4172669, 0.2442997, 0.8831263, 1.576366, 0.722121, 1.007537, 0
0.7996983590852391, 0.5498884, 0.4386759, 0.02760183, 1.849772, 2.113524, 2.601696, 0.0492602, 0.380307, 0.2325236, 0.8319207, 1.502074, 0.6746466, 7.929029, 0
0.899660653970894, 1.206799, 0.4099466, 0.02621914, 1.769498, 1.990039, 2.471547, 0.5279435, 1.617804, 0.2213152, 0.7836843, 1.431283, 0.6302934, 9.774813, 0
0.9996229488565489, 1.143889, 0.3830988, 0.02490571, 1.692708, 1.873769, 2.347909, 1.190301, 1.474505, 0.210647, 0.7382445, 1.363828, 0.588856, 9.091549, 0
1.099585243742204, 1.084258, 0.3580092, 0.02365808, 1.61925, 1.764292, 2.230455, 1.648992, 1.3439, 0.2004931, 0.6954396, 1.299552, 1.545823, 8.456045, 0
1.199547538627859, 1.027736, 0.3345628, 0.6932111, 1.548981, 1.661212, 2.118877, 1.572459, 1.224862, 0.1908286, 0.6551164, 1.238305, 1.444196, 8.793226, 0
1.299509833513514, 0.9741604, 0.312652, 0.6584853, 1.48176, 1.564154, 2.864081, 1.73175, 1.116369, 0.18163, 0.6171314, 1.784391, 1.349251, 8.178576, 0
1.399472128399168, 0.9233776, 0.2921761, 0.7659351, 1.417457, 2.004228, 2.720806, 1.651375, 1.017485, 0.1728748, 0.5813488, 1.700294, 1.260547, 7.606889, 0
1.499434423284823, 0.8752422, 0.2730412, 1.041063, 1.355944, 1.887129, 2.584699, 1.756024, 0.9273606, 0.1645417, 0.5476409, 1.620161, 1.177675, 7.075163, 0
1.599396718170478, 0.829616, 0.2551594, 0.9889123, 1.297101, 1.776871, 2.636411, 1.674522, 0.8452187, 0.1566102, 0.5158876, 2.036971, 1.100251, 6.580606, 0
1.699359013056133, 0.7863684, 0.2384488, 0.9393736, 1.240811, 2.424406, 2.504525, 1.596804, 0.7703525, 0.149061, 0.4859753, 1.940971, 1.027917, 6.120618, 0
1.799321307941788, 0.7453752, 0.2228325, 0.8923165, 1.186964, 2.282758, 2.379237, 1.522692, 0.7021178, 0.1418758, 0.4577974, 1.849495, 0.9603388, 5.692784, 0
1.899283602827443, 0.8042533, 0.208239, 0.8476167, 1.52645, 2.149385, 2.260216, 1.582712, 0.639927, 0.1350369, 0.4312533, 3.029429, 0.8972033, 5.294855, 0
1.999245897713098, 0.7623277, 0.1946012, 0.8051561, 1.460207, 2.023805, 2.14715, 1.509255, 0.5832449, 0.1285276, 0.4062483, 2.886655, 0.8382185, 5.903137, 0
2.099208192598752, 0.7225878, 0.1818566, 0.7648225, 1.396839, 1.905562, 2.039739, 1.439207, 0.5315834, 0.1223321, 0.3826931, 2.75061, 0.7831115, 5.490505, 0
2.199170487484408, 0.6849195, 0.1699466, 1.826948, 1.973952, 1.794228, 1.937702, 2.18258, 0.4844978, 0.1164353, 0.3605038, 2.620977, 1.316588, 5.106716, 0
2.299132782370062, 0.6492149, 0.1588167, 1.735428, 1.888289, 1.689398, 1.840769, 2.081281, 0.4415829, 0.1108227, 0.339601, 2.497453, 1.230031, 4.749753, 0
2.399095077255717, 0.6153715, 0.1484156, 1.648494, 1.806344, 1.590693, 1.974223, 1.984684, 0.4024693, 0.1054807, 0.3199102, 2.885334, 1.149166, 6.469769, 0
2.499057372141372, 0.5832923, 0.1386957, 2.244034, 1.926671, 1.497756, 1.875463, 1.89257, 0.6227458, 0.1003961, 0.3013611, 2.749351, 1.073616, 6.017529, 0
2.599019667027027, 0.5528854, 0.1296124, 2.727484, 1.84306, 1.410248, 1.781644, 1.804731, 0.5675855, 0.09555671, 0.2838876, 3.295274, 1.003033, 5.596901, 0
2.698981961912682, 0.5240636, 0.1211239, 2.590853, 1.763078, 1.327852, 1.692518, 1.732289, 0.517311, 0.09095054, 0.2674271, 3.139972, 0.9370908, 5.205675, 0
2.798944256798337, 1.455283, 0.1131914, 2.461067, 1.686567, 1.250271, 1.60785, 1.767802, 0.4714897, 0.08656641, 0.2519211, 2.991988, 0.8754836, 4.841795, 0
2.898906551683992, 1.37942, 1.427927, 2.337782, 1.613375, 1.177223, 1.527418, 1.685755, 0.429727, 0.08239361, 0.2373142, 2.850979, 0.8179268, 4.503351, 0
2.998868846569647, 1.307511, 1.334411, 2.220673, 1.54336, 1.108443, 1.451009, 1.607515, 0.3916635, 0.07842195, 0.2235542, 2.716615, 0.7641538, 4.188565, 0
3.098831141455301, 1.239351, 1.247019, 2.10943, 1.476384, 1.043681, 1.378423, 1.640593, 0.3569715, 0.07464174, 0.2105921, 2.611547, 0.9496919, 3.895782, 0
3.198793436340956, 1.174744, 1.165351, 2.00376, 1.412314, 0.9827025, 1.309468, 1.564449, 0.3253524, 0.07104375, 0.1983815, 2.957322, 0.8872563, 3.623465, 0
3.298755731226611, 1.113505, 1.089031, 1.903383, 1.351024, 0.9252871, 1.243962, 1.491839, 0.296534, 0.0676192, 0.1868789, 2.817947, 0.8289254, 3.898213, 0
3.398718026112266, 1.055458, 1.017709, 1.808035, 1.64266, 0.8712263, 1.181733, 1.4226, 0.2702682, 0.06435972, 0.1760433, 2.922636, 0.7744294, 3.625726, 0
3.498680320997921, 1.000437, 0.9510581, 1.717463, 1.571375, 0.820324, 1.616442, 1.356573, 0.2463289, 0.06125735, 0.1658359, 3.332407, 0.7235162, 3.575929, 0
3.598642615883576, 0.9482847, 1.291716, 1.631428, 1.503182, 1.830325, 1.53558, 1.293612, 0.2245101, 0.05830454, 0.1562204, 3.841958, 0.6759501, 3.32597, 0
3.698604910769231, 1.001988, 1.207121, 1.549703, 1.437949, 2.222156, 1.458763, 1.740462, 0.2046238, 0.05549406, 0.1471624, 3.660891, 0.6315111, 3.093483, 0
3.798567205654886, 0.9497545, 1.128065, 1.472072, 1.375547, 2.672657, 1.385789, 1.659683, 0.1864991, 0.05281905, 0.1386296, 3.565631, 0.5899937, 2.877247, 0
3.89852950054054, 0.9002441, 1.054187, 1.39833, 1.315853, 2.786049, 1.316465, 1.582654, 0.1699797, 0.05027299, 0.1305916, 3.552667, 0.5512057, 2.676126, 0
3.998491795426196, 0.8533146, 0.9851471, 1.328282, 1.25875, 2.88485, 1.25061, 1.509199, 0.1549236, 0.04784966, 0.1230196, 3.385233, 0.7217276, 2.489063, 0
4.098454090311851, 0.8088315, 0.9206287, 1.261743, 1.204125, 2.7163, 2.062227, 1.439153, 0.1412011, 0.04554314, 0.2170104, 3.22569, 0.674279, 2.315076, 0
4.198416385197505, 0.7666674, 1.147251, 1.198537, 1.15187, 2.957403, 1.959065, 1.372359, 0.1286941, 0.0433478, 0.2044277, 3.073667, 0.6299499, 2.153251, 0
4.29837868008316, 0.7267011, 1.072117, 1.138497, 1.101883, 2.784614, 3.317483, 1.308664, 0.1172948, 0.04125829, 0.1925745, 2.928808, 0.5885351, 4.8133, 0
4.398340974968815, 0.6888184, 1.001903, 1.081465, 1.054065, 2.62192, 3.151527, 1.247926, 0.1069053, 0.0392695, 0.1814087, 2.790776, 0.5498431, 4.476848, 0
4.49830326985447, 0.6529105, 0.936287, 2.064834, 1.008322, 2.714024, 3.448981, 1.646255, 0.446422, 0.03737657, 0.1708902, 3.79131, 0.5136948, 4.163914, 0
4.598265564740124, 0.6188744, 0.8749686, 1.961398, 0.9645643, 3.031691, 3.774049, 1.569849, 0.4068797, 0.03557489, 0.1609816, 3.61263, 0.479923, 3.872854, 0
4.69822785962578, 0.5866127, 0.817666, 1.863143, 0.963154, 3.402839, 3.585253, 1.496989, 1.304201, 0.03386006, 0.1516476, 4.039885, 0.4483714, 3.602139, 0
4.798190154511435, 0.9946645, 0.7641162, 1.769811, 1.957459, 3.645475, 3.405902, 1.42751, 1.18868, 0.03222788, 0.1428547, 3.849489, 1.358343, 3.758977, 0
4.89815244939709, 1.200886, 0.7140735, 1.681154, 1.872512, 3.432484, 3.235523, 1.361256, 1.083392, 0.03067439, 0.1345717, 3.668066, 1.369769, 5.136151, 0
4.998114744282744, 1.138284, 0.6673081, 1.739324, 1.791251, 3.231938, 3.073667, 1.418802, 0.9874291, 0.02919578, 0.1267689, 3.495194, 1.279716, 4.777131, 0
5.098077039168399, 1.078945, 0.6987761, 1.652194, 1.713517, 4.452795, 4.665206, 1.352953, 0.8999666, 0.02778844, 0.1194186, 3.330469, 1.195584, 4.443207, 0
