 , C00, C09, C10, C25, C26, C27, C32, C39
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0
0.09996260901259112, 0.09139228, 0, 0, 0, 0, 0, 0, 0
0.1999252180251822, 0.08451802, 1.192093e-07, 1.770534, 0.4118926, 0.8516297, 0, 0, 0
0.2998878270377733, 0.07816085, 1.192093e-07, 3.337013, 0.3750979, 0.8039539, 0, 0.1452007, 0
0.3998504360503645, 0.6413264, 0.6421434, 2.743707, 0.3415901, 0.7589471, 0, 0.1378395, 0
0.4998130450629556, 0.5930877, 3.38758, 2.255888, 0.3110756, 0.7164598, 0, 0.1308514, 0
0.5997756540755467, 0.5484774, 5.956849, 1.854801, 0.283287, 0.6763511, 0, 0.1242176, 0
0.6997382630881378, 0.5072225, 4.74617, 2.638032, 0.2579807, 0.6384877, 0, 0.1179202, 0
0.7997008721007289, 0.5188176, 5.024892, 2.169002, 0.2349351, 0.602744, 0, 0.111942, 0
0.8996634811133201, 0.4797937, 5.615734, 1.783363, 0.2139482, 0.5690013, 0, 0.1062668, 0
0.9996260901259112, 0.443705, 4.171852, 1.46629, 0.194836, 0.5371475, 0, 0.1008794, 0
1.099588699138502, 0.4103309, 3.394083, 1.20559, 0.1774312, 0.5843092, 0, 0.09576515, 0
1.199551308151093, 0.379467, 2.330025, 2.480224, 0.1615811, 0.5515985, 0, 0.09091014, 0
1.299513917163684, 0.9298182, 1.913837, 2.878715, 0.1471469, 0.520719, 0, 0.08630127, 2.196738
1.399476526176276, 0.8598801, 4.623001, 2.366892, 0.1340022, 0.4915682, 0, 0.08192605, 2.056233
1.499439135188867, 0.7952025, 6.649096, 1.946069, 0.1220316, 0.4640493, 0, 0.07777264, 1.924715
1.599401744201458, 0.7353897, 6.846844, 1.600067, 0.1111305, 0.438071, 0, 0.0738298, 1.801609
1.699364353214049, 0.6800759, 5.02639, 1.315582, 0.1012031, 0.413547, 0, 0.07008685, 1.686377
1.79932696222664, 1.728659, 5.975349, 1.081678, 0.09216254, 0.3903959, 0, 0.06653365, 1.578515
1.899289571239231, 1.598634, 4.102053, 0.8893604, 0.08392959, 0.3685408, 0, 0.0631606, 1.477552
1.999252180251822, 1.47839, 2.816043, 0.7312361, 0.07643209, 0.3479092, 0, 0.05995854, 3.263045
2.099214789264414, 1.829762, 1.933202, 1.129894, 0.06960435, 0.3310782, 0, 0.05691882, 3.054338
2.199177398277004, 1.692133, 1.807022, 0.9290036, 0.06338654, 0.3125438, 0, 0.05403321, 2.85898
2.299140007289596, 1.564856, 1.590145, 3.669669, 0.4165213, 0.2950471, 0, 0.05129389, 2.676118
2.399102616302187, 1.504282, 1.40534, 3.017219, 0.3793132, 0.2785298, 0, 0.04869344, 2.504951
2.499065225314778, 1.391134, 4.119706, 2.480771, 0.3454288, 0.2629372, 0, 0.04622483, 2.344733
2.599027834327369, 1.286497, 3.887797, 3.231185, 0.3145714, 0.2482175, 0, 0.04388137, 2.194762
2.69899044333996, 1.189731, 4.403658, 3.07849, 0.2864705, 0.2343218, 0, 0.04165671, 2.054384
2.798953052352551, 1.100243, 3.706259, 3.413167, 0.2608798, 0.2212041, 0, 0.03954484, 1.922984
2.898915661365142, 1.017486, 3.495237, 2.806321, 0.2375752, 0.2088207, 0, 0.03754004, 1.799988
2.998878270377733, 0.9409534, 4.137388, 2.30737, 0.2163525, 0.1971305, 0, 0.03563687, 1.68486
3.098840879390325, 0.8896095, 5.383272, 1.89713, 0.6031522, 0.3588067, 0, 0.03383018, 1.577095
3.198803488402916, 0.8226958, 3.695595, 1.559829, 0.5743435, 0.3387201, 0, 0.03211509, 1.476223
3.298766097415507, 0.760815, 2.537011, 1.282498, 0.523037, 0.3197579, 0, 0.03048695, 1.381802
3.398728706428098, 1.269625, 1.741648, 1.054476, 0.4763137, 0.3018573, 0, 0.02894136, 1.293421
3.498691315440689, 1.174127, 1.723962, 2.883804, 0.4337642, 0.2849588, 0, 0.02747411, 1.210693
3.59865392445328, 1.085813, 1.183493, 2.371077, 0.3950157, 0.9441255, 0, 0.02608126, 1.133256
3.698616533465871, 2.472248, 1.289105, 3.119656, 0.3597286, 1.461225, 0, 0.02475902, 1.060772
3.798579142478463, 2.286293, 2.195142, 2.564996, 0.3275938, 1.379423, 0, 0.02350381, 0.9929246
3.898541751491054, 2.114325, 3.343066, 2.108951, 0.2983296, 1.3022, 0, 0.02231224, 0.9294164
3.998504360503645, 1.955292, 3.224729, 1.804159, 0.2716796, 1.2293, 0, 0.02118107, 0.8699703
4.098466969516236, 1.80822, 3.217448, 1.483388, 0.2474102, 1.160482, 0, 0.02010725, 0.8143263
4.198429578528827, 1.672211, 2.208765, 1.894513, 0.2253089, 1.095516, 0, 0.01908788, 0.7622414
4.298392187541418, 1.546433, 1.516308, 3.988068, 0.2051819, 1.034187, 0, 0.01812018, 0.7134879
4.398354796554009, 1.953729, 2.453619, 3.279007, 1.219465, 0.9762915, 0, 0.01720154, 0.6678527
4.4983174055666, 1.806776, 2.288506, 2.696015, 1.110529, 0.9216369, 0, 0.01632947, 0.6251364
4.598280014579191, 1.670875, 3.849552, 2.216676, 1.011325, 0.870042, 0, 0.01550162, 0.5851522
4.698242623591782, 1.950455, 2.642702, 1.822561, 0.9209823, 1.157867, 0, 0.01471573, 0.5477254
4.798205232604373, 2.025496, 3.450036, 1.498518, 0.8387102, 1.093048, 0, 0.01396969, 0.5126925
4.898167841616965, 1.873145, 5.191414, 1.232088, 0.7637876, 1.031857, 0, 0.01326147, 2.475973
4.998130450629556, 1.732252, 3.563885, 1.013029, 0.6955578, 0.9740918, 0, 0.01258915, 2.317608
5.098093059642147, 1.601958, 2.446593, 0.8329166, 0.7581453, 1.067201, 0, 0.01195092, 2.169372
5.198055668654738, 2.13061, 1.893119, 0.8828308, 0.6904196, 1.007457, 0, 0.01134504, 2.030617
5.298018277667329, 1.970352, 1.299618, 1.986814, 1.266308, 0.9510582, 0, 0.01076988, 1.900738
5.39798088667992, 1.822148, 0.8921828, 1.954084, 1.239649, 0.8978162, 0, 0.01022388, 1.779165
5.497943495692511, 1.685091, 0.6124799, 2.118995, 1.128911, 0.8475549, 0, 0.00970556, 1.665368
5.597906104705102, 2.648885, 1.777093, 1.742248, 1.028064, 0.8001072, 0, 0.009213517, 1.55885
5.697868713717694, 2.449644, 1.96434, 1.432484, 0.9362262, 0.7553157, 0, 0.008746419, 1.459145
5.797831322730285, 2.265388, 1.692459, 1.177795, 0.8652517, 2.579934, 0, 0.008303002, 1.365817
5.897793931742876, 2.094993, 1.77713, 0.9683883, 1.03737, 2.435505, 0, 0.007882064, 1.278458
5.997756540755467, 1.937414, 1.219993, 1.900578, 0.9447008, 3.436271, 0, 0.007482467, 1.196687
6.097719149768058, 1.791687, 2.170823, 1.562664, 0.8603099, 3.243902, 0, 0.007103128, 1.120146
6.197681758780649, 1.992537, 1.490261, 1.28483, 0.7834578, 3.062303, 0, 0.00674302, 1.048501
6.29764436779324, 1.842664, 3.226226, 1.056393, 0.7134709, 2.890869, 0, 0.006401169, 0.9814379
6.397606976805831, 1.937367, 3.946951, 0.8685709, 0.649736, 2.729033, 0, 0.006076649, 0.9186645
6.497569585818423, 1.791644, 3.166451, 0.7141429, 0.5916945, 2.576257, 0, 0.005768581, 0.859906
6.597532194831014, 1.656882, 2.173756, 1.554502, 0.538838, 2.432034, 0, 0.005476131, 0.8049058
6.697494803843605, 1.532256, 1.492275, 3.220971, 0.4907031, 2.295884, 0, 0.005198508, 0.7534234
6.797457412856196, 3.081969, 1.477831, 2.648297, 0.4468682, 2.167356, 0, 0.004934959, 0.7052339
6.897420021868787, 2.850152, 2.757101, 2.177442, 0.4069491, 2.046024, 0, 0.004684771, 0.6601266
6.997382630881378, 2.635772, 3.173653, 1.790303, 0.3705961, 1.931484, 0, 0.004447267, 0.6179044
7.097345239893969, 2.437518, 2.1787, 1.471995, 0.3374904, 2.14649, 0, 0.004221804, 0.5783828
7.197307848906561, 2.254175, 3.277879, 1.210281, 0.3073421, 3.618731, 0, 0.004007771, 0.541389
7.297270457919152, 2.084623, 2.85098, 0.9950984, 0.279887, 5.725755, 0, 0.003804589, 0.5067614
