 , C00, C01, C06, C13, C18, C24
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0
0.09996251874793526, 0.9881606, 0, 0, 0, 0, 0
0.1999250374958705, 0.9406208, 0, 0, 0, 0, 0
0.2998875562438058, 0.8953681, 0.4094656, 0, 0, 0, 1.933307
0.399850074991741, 0.8522925, 0.3825756, -1.192093e-07, 0, 0, 6.127953
0.4998125937396762, 0.8112892, 0.3574514, 1.829379, 0, 0, 5.814131
0.5997751124876115, 0.7722585, 0.3339772, 1.688545, 0, 1.918319, 5.516382
0.6997376312355468, 0.7351056, 0.3120446, 1.558552, 0, 2.836622, 5.23388
0.799700149983482, 0.6997401, 0.2915523, 1.438567, 0, 2.709967, 4.965845
0.8996626687314172, 0.6660761, 0.2724057, 1.327819, 0, 2.588966, 4.711537
0.9996251874793525, 0.6340315, 0.2545166, 2.171495, 0, 2.473369, 4.470252
1.099587706227288, 0.6035287, 0.2378021, 2.335423, 0, 2.362933, 4.241324
1.199550224975223, 0.5744933, 0.2221854, 2.155631, 0, 2.257429, 4.024119
1.299512743723158, 0.5474868, 0.2075943, 2.338907, 0, 2.156634, 3.818038
1.399475262471094, 0.5211474, 0.1939613, 2.158847, 0, 2.532094, 6.815505
1.499437781219029, 0.4960753, 0.1812236, 1.992649, 0, 2.903782, 14.38206
1.599400299966964, 0.4722094, 0.1693224, 1.839245, 0, 2.774128, 13.64553
1.699362818714899, 0.4494916, 0.1582028, 1.697651, 0.01108127, 2.920074, 12.94672
1.799325337462834, 0.4278668, 0.1478135, 1.939746, 0.01055314, 2.789693, 12.2837
1.89928785621077, 0.4072824, 0.1381064, 1.790415, 0.01005019, 4.551404, 11.65464
1.999250374958705, 0.3876883, 0.1290367, 1.65258, 0.009571199, 4.348184, 11.05779
2.09921289370664, 0.8953945, 0.1205628, 1.525356, 0.8495309, 6.024842, 10.4915
2.199175412454576, 0.8523176, 0.1126453, 2.775657, 0.8090428, 5.755833, 9.954214
2.299137931202511, 0.8113131, 0.1052477, 2.561974, 0.7704842, 5.498835, 9.444445
2.399100449950446, 1.102175, 0.09833598, 2.364741, 0.7337633, 5.710291, 8.96078
2.499062968698381, 1.04915, 0.09187818, 2.465889, 4.886497, 5.455328, 8.501885
2.599025487446316, 1.568209, 0.0858444, 2.276053, 5.412848, 5.211748, 8.066491
2.698988006194252, 1.492763, 0.0802069, 2.100832, 5.154875, 6.719592, 7.653394
2.798950524942187, 1.420948, 0.07493962, 1.939099, 4.909196, 6.419563, 7.261452
2.898913043690122, 1.352587, 0.07001826, 1.789818, 4.675227, 6.576453, 9.72775
2.998875562438057, 1.287514, 0.6361752, 1.652029, 4.452408, 6.282815, 10.31581
3.098838081185993, 1.225573, 0.5943968, 1.537705, 4.240209, 6.002288, 12.41467
3.198800599933928, 1.166611, 0.5553621, 2.655224, 4.038123, 5.734286, 11.7789
3.298763118681863, 1.110486, 0.5188909, 2.450812, 3.845668, 6.799729, 11.17568
3.398725637429798, 1.057062, 0.4848147, 2.262136, 3.662385, 6.496121, 11.21125
3.498688156177734, 1.006207, 0.4529763, 2.087986, 3.487838, 6.20607, 10.63711
3.598650674925669, 0.957799, 0.4232289, 1.927243, 3.32161, 5.92897, 10.09237
3.698613193673604, 0.9117197, 0.7442467, 1.778875, 3.163304, 5.664242, 9.57552
3.79857571242154, 0.8678574, 0.6953712, 1.641928, 3.012542, 5.411334, 9.085144
3.898538231169475, 0.8261054, 0.7326321, 1.515525, 2.868966, 5.169719, 9.535316
3.99850074991741, 0.7863619, 0.6845193, 1.398852, 2.732233, 4.938891, 11.41714
4.098463268665345, 0.7485305, 0.6395661, 1.65308, 2.602016, 5.567635, 10.83245
4.198425787413281, 0.7125191, 0.5975651, 1.525818, 2.478005, 5.31904, 10.2777
4.298388306161216, 0.6782402, 0.5583223, 1.408353, 2.359905, 5.603255, 9.751367
4.398350824909151, 0.6456105, 0.5216566, 1.299932, 2.247433, 5.35307, 9.251985
4.498313343657086, 0.6145505, 0.4873988, 1.466144, 2.140322, 5.825693, 8.778177
4.598275862405021, 0.5849849, 0.4553908, 1.357706, 2.038315, 5.565577, 8.328633
4.698238381152957, 0.5568416, 0.4254847, 1.536153, 1.94117, 5.317074, 7.902112
4.798200899900892, 0.5300523, 0.3975427, 1.82023, 1.848655, 5.079668, 7.497433
4.898163418648827, 0.5045518, 0.3714356, 1.6801, 2.354034, 6.731915, 9.42434
4.998125937396763, 0.9749817, 0.347043, 1.550758, 3.48784, 6.431336, 8.941706
5.098088456144698, 0.9280759, 0.3242522, 1.803284, 4.416546, 6.144177, 14.83977
5.198050974892633, 0.8834267, 0.3029582, 1.664459, 4.698127, 5.869841, 15.49216
5.298013493640569, 0.8409256, 0.2830626, 1.536321, 4.474217, 5.607753, 25.55197
5.397976012388503, 0.8004692, 0.2644736, 1.418047, 4.390758, 5.357367, 28.12534
5.497938531136438, 0.7619591, 0.2471053, 1.308879, 4.181497, 5.118161, 28.59239
5.597901049884374, 0.7253016, 0.2308776, 1.246665, 3.982209, 4.889636, 30.98449
5.697863568632309, 0.6904078, 0.2157156, 1.150691, 3.792419, 4.671314, 29.92321
5.797826087380244, 0.6571927, 0.2015493, 1.062105, 4.474068, 4.46274, 29.15853
5.89778860612818, 0.6255756, 0.1883133, 0.9803389, 5.209688, 4.263479, 27.66528
5.997751124876115, 0.5954795, 0.1759466, 0.9048676, 5.040793, 4.073115, 26.2485
6.09771364362405, 0.6644973, 0.164392, 1.277086, 4.800552, 5.877192, 24.90427
6.197676162371986, 0.6325287, 0.1535962, 1.17877, 4.57176, 6.524895, 23.62889
6.297638681119921, 0.8884035, 0.1435093, 1.088023, 4.353873, 6.23356, 22.41882
6.397601199867856, 0.845663, 0.1340849, 1.769148, 4.967272, 5.955232, 24.26478
6.497563718615791, 0.8049787, 0.1252794, 2.531306, 5.573128, 5.689332, 24.54761
6.597526237363726, 0.7662516, 0.9975317, 2.695212, 5.307516, 5.435303, 26.13673
6.697488756111662, 0.7293876, 0.9685899, 2.487721, 5.054563, 5.192617, 32.27418
6.797451274859597, 0.6942973, 0.9049815, 2.296205, 7.074326, 6.588493, 31.12187
6.897413793607532, 0.660895, 0.8455504, 2.119432, 7.862645, 7.003508, 30.3008
6.997376312355468, 1.142173, 0.7900221, 1.956268, 8.099877, 6.690802, 33.28662
