Time (s), Cell Name, Value
261.701874, C00, 3.95414
925.353036, C00, 2.742364
981.232084, C00, 2.709763
995.926574, C00, 3.623564
1005.223089, C00, 2.5028
1071.798126, C00, 2.771799
1170.76102, C00, 2.554532
2011.076489, C00, 2.686993
2017.37413, C00, 2.718911
2021.572558, C00, 2.583877
2029.969413, C00, 2.723092
2035.367392, C00, 3.092597
2073.653053, C00, 3.249396
2076.65193, C00, 2.852171
2494.695364, C00, 2.760569
156.741229, C01, 2.740256
469.823838, C01, 2.533027
470.023763, C01, 3.349073
473.322526, C01, 2.696958
473.422489, C01, 3.210473
473.622414, C01, 4.441609
473.722376, C01, 3.965786
473.822339, C01, 2.78833
561.089618, C01, 3.036326
561.58943, C01, 4.244725
581.282047, C01, 2.77244
679.745127, C01, 3.472445
680.24494, C01, 3.555115
680.444865, C01, 2.673491
749.119115, C01, 2.67823
892.96518, C01, 2.743639
909.758883, C01, 2.570719
910.058771, C01, 3.385283
928.551837, C01, 2.593345
1948.599888, C01, 2.687522
1968.99225, C01, 3.239747
1974.290266, C01, 5.168972
1974.490191, C01, 3.043703
1979.988132, C01, 3.197632
1984.786335, C01, 3.011145
1989.984388, C01, 2.744202
1990.484201, C01, 3.057358
2011.876189, C01, 3.527622
2014.675141, C01, 4.380101
2014.875066, C01, 4.342
2020.672895, C01, 3.109632
2021.072745, C01, 2.586718
2027.070499, C01, 3.900252
2027.370387, C01, 2.712358
2029.669526, C01, 3.338159
2029.769488, C01, 4.204797
2034.667654, C01, 2.761207
2034.767616, C01, 3.391672
2035.267429, C01, 2.973885
2035.367392, C01, 2.990178
2040.165595, C01, 4.005524
2057.55908, C01, 3.318902
2062.857096, C01, 3.183892
2074.852604, C01, 2.928079
2074.952566, C01, 3.12908
2077.551593, C01, 4.151239
2077.651555, C01, 3.915987
2078.151368, C01, 3.39571
2080.95032, C01, 2.913347
2081.050282, C01, 2.767439
2158.021455, C01, 2.997499
2173.01584, C01, 2.86613
2178.413818, C01, 3.213178
2181.012844, C01, 3.444749
2207.003111, C01, 3.245179
2207.302998, C01, 4.505108
