 , C04, C05, C06, C07, C12, C13, C14, C15, C16, C17
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.09996262431444242, 0, 0, 0.9887737, 0, 0, 0, 0, 0, 0, 0
0.1999252486288848, 0, 1.46478, 0.9480097, 0, 0, 0, 0, 0, 0, 0
0.2998878729433272, 0, 1.370342, 1.270241, 0.4970658, 0, 0.02272162, 2.58327, 0, 0, 0
0.3998504972577697, 0, 1.281992, 1.686436, 1.222352, 0, 0.01816677, 3.239671, 0, 0, 0
0.4998131215722121, 0, 1.199339, 1.61691, 1.153908, 0, 0.01452501, 3.18036, 0, 0, 0
0.5997757458866545, 0, 1.122014, 1.55025, 2.716289, 0, 0.01161328, 3.006601, 0, 0, 0
0.6997383702010969, 0, 1.049675, 2.172809, 2.564194, 0, 0.009285248, 2.842335, 0, 0, 0
0.7997009945155393, 0, 0.9819998, 2.083231, 2.420615, 0, 0.007423899, 2.687043, 0, 0, 0
0.8996636188299817, 0, 0.9186877, 1.997347, 2.285075, 0, 0.005935682, 2.540236, 0, 0, 0
0.9996262431444242, 0, 1.185886, 1.915003, 2.157125, 0, 0.004745797, 2.40145, 0, 0, 0
1.099588867458867, 0, 1.109429, 2.360294, 2.03634, 0, 0.003794441, 2.894323, 0, 0, 0
1.199551491773309, 0, 1.037901, 2.262987, 1.922317, 0, 0.003033796, 2.736192, 0, 0, 0
1.299514116087751, 0, 0.9709851, 2.773598, 1.81468, 0, 0.002425632, 2.632704, 0, 0, 0
1.399476740402194, 0, 0.9083831, 2.659252, 1.713069, 0, 0.001939383, 2.488866, 0, 0, 0
1.499439364716636, 0, 0.8498172, 3.026248, 1.617148, 0, 0.001550608, 2.352886, 0, 0, 0
1.599401989031079, 0.3457559, 1.292689, 2.9468, 1.526597, 0, 0.001239769, 2.224336, 0, 0, 0
1.699364613345521, 0.3160637, 1.209346, 4.184364, 1.441117, 0, 0.0009912408, 2.102809, 0, 0, 0
1.799327237659963, 0.2889213, 1.95419, 4.011856, 1.360424, 0, 0.0007925337, 1.987922, 0, 0, 0
1.899289861974406, 0.2641098, 2.732837, 4.53917, 1.284249, 0, 0.0006336601, 1.879311, 0, 0, 0
1.999252486288848, 0.2414291, 2.556643, 4.352036, 1.270979, 0, 0.0005066346, 1.776635, 0, 0, 0
2.099215110603291, 0.2206961, 3.354452, 4.172616, 1.297645, 0, 0.0004050731, 1.679568, 0, 0, 0
2.199177734917733, 0.2017435, 6.127693, 6.10687, 1.224985, 0, 0.000323871, 1.587804, 0, 0, 0
