Time (s), Cell Name, Value
27.489722, C04, 2.789537
33.287554, C04, 2.766185
37.286059, C04, 2.902328
37.386021, C04, 3.475445
39.085386, C04, 5.79084
41.984302, C04, 2.736659
58.27821, C04, 2.599361
62.47664, C04, 3.034186
63.97608, C04, 3.718546
65.675444, C04, 4.630803
67.974585, C04, 2.795166
68.17451, C04, 3.272145
68.774286, C04, 3.195109
69.573987, C04, 6.384629
71.673202, C04, 3.111566
86.66759500000001, C04, 3.368527
88.86677299999999, C04, 4.274818
98.863035, C04, 5.257386
171.635826, C04, 2.561331
171.735789, C04, 3.078972
171.835751, C04, 2.965727
173.235228, C04, 4.205752
191.428426, C04, 3.532105
191.528388, C04, 3.016763
191.628351, C04, 2.77528
195.02708, C04, 3.553542
204.623492, C04, 2.724966
204.723455, C04, 2.707152
206.222894, C04, 2.745414
223.21654, C04, 3.13391
225.415718, C04, 3.361734
229.31426, C04, 4.120885
231.21355, C04, 2.553266
263.801366, C04, 3.278225
265.000917, C04, 2.595745
266.600319, C04, 3.805354
266.700282, C04, 2.789049
267.40002, C04, 5.378747
267.499983, C04, 2.722269
269.999048, C04, 3.249263
270.099011, C04, 4.98001
277.896096, C04, 2.740637
284.293704, C04, 3.308187
290.391424, C04, 3.310631
307.285107, C04, 2.804262
307.485032, C04, 3.887663
336.574156, C04, 4.45438
338.573409, C04, 3.391811
338.673371, C04, 3.733526
349.369372, C04, 2.593404
357.366382, C04, 4.440847
357.966158, C04, 3.09919
358.06612, C04, 3.635498
366.562943, C04, 3.025843
370.761374, C04, 2.642252
370.861336, C04, 3.590319
370.961299, C04, 4.016727
372.560701, C04, 4.001512
372.660663, C04, 3.341421
382.257075, C04, 3.075094
394.852366, C04, 3.916534
394.952329, C04, 3.184042
422.641976, C04, 3.025615
422.741938, C04, 4.19639
428.13992, C04, 2.692616
429.239509, C04, 3.578518
429.339471, C04, 3.012968
430.838911, C04, 2.678405
432.238388, C04, 3.466309
432.438313, C04, 3.249344
433.238014, C04, 6.14384
433.437939, C04, 2.745883
434.837416, C04, 3.976821
435.637117, C04, 6.691762
435.737079, C04, 3.234576
436.336855, C04, 4.801808
438.136182, C04, 3.109386
440.135435, C04, 3.024949
440.235397, C04, 2.653188
440.33536, C04, 4.42276
442.134687, C04, 4.224994
442.23465, C04, 3.803318
442.334613, C04, 3.565081
443.234276, C04, 3.099137
443.334239, C04, 2.614449
445.333491, C04, 3.019856
445.433454, C04, 3.504904
445.533417, C04, 2.971438
445.633379, C04, 2.698462
448.732221, C04, 3.424157
449.931772, C04, 3.26328
454.829941, C04, 2.702108
458.928408, C04, 3.714223
468.924671, C04, 3.391597
481.819849, C04, 3.142858
481.919812, C04, 2.896169
489.317046, C04, 2.574248
492.615813, C04, 3.234303
493.515476, C04, 3.905727
493.615439, C04, 3.209842
494.515102, C04, 3.791626
497.414019, C04, 2.925556
498.21372, C04, 3.87144
498.313682, C04, 3.852981
499.413271, C04, 2.677535
499.513234, C04, 6.059848
502.41215, C04, 3.484704
502.712038, C04, 3.826655
502.812, C04, 2.745019
511.308823, C04, 3.177945
521.005198, C04, 4.894197
522.904488, C04, 3.322475
523.00445, C04, 2.842769
523.104413, C04, 3.470424
523.804151, C04, 4.178087
526.503142, C04, 3.387239
529.901871, C04, 2.714833
530.001834, C04, 4.784515
534.2002639999999, C04, 3.709407
534.3002269999999, C04, 3.107943
601.475111, C04, 3.307652
601.575073, C04, 2.583751
609.971934, C04, 2.76931
610.871597, C04, 4.393219
624.166626, C04, 2.740707
625.965953, C04, 3.556789
628.664944, C04, 3.897899
629.26472, C04, 4.050755
641.660085, C04, 3.398875
650.156909, C04, 5.0184
656.154666, C04, 3.697549
658.653732, C04, 3.331628
658.753694, C04, 3.717421
660.6529839999999, C04, 3.341345
661.152797, C04, 2.702254
661.852536, C04, 2.673177
662.452311, C04, 2.915314
662.552274, C04, 4.869171
663.7518250000001, C04, 4.133468
