 , C00, C02, C04, C07, C14, C16, C17, C21, C26, C29
Time(s)/Cell Status, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted, accepted
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.09996253293363311, 0, 0, 0, 0.4475765, 0, 0.5424175, 0, 0, 0, 0.05826759
0.1999250658672662, 0, 0, 0.5997974, 2.632449, -1.192093e-07, 1.146803, 0, 0, 0, 0.05527472
0.2998875988008993, 0, 0, 0.5645159, 2.49355, -1.192093e-07, 1.09586, 0, 0, 0, 0.0524354
0.3998501317345324, -5.960464e-08, 0, 0.5313097, 2.361981, -5.960464e-08, 1.04718, 0, 0, 0, 0.8526027
0.4998126646681655, -5.960464e-08, 0, 1.450575, 2.237353, -5.960464e-08, 1.000661, 0, 0, 0, 0.8088081
0.5997751976017986, -5.960464e-08, 0, 1.365249, 2.119302, -5.960464e-08, 1.840585, 0, 0, 0.3706369, 1.130221
0.6997377305354318, -2.980232e-08, 0, 1.284942, 2.007479, -5.960464e-08, 1.758822, 0.1305794, 0, 0.3542092, 1.072166
0.7997002634690649, 0.04262343, 0, 1.209358, 1.901557, -5.960464e-08, 1.680692, 0.1224525, 0, 0.3385096, 1.017093
0.899662796402698, 0.1200259, 0, 1.138221, 1.801223, 0, 1.606032, 0.1148314, 0, 0.3235058, 1.3598
0.9996253293363311, 0.3693809, 0, 1.874886, 2.404507, 0.6582701, 1.534689, 0.1076846, 0, 0.3091669, 1.82523
1.099587862269964, 0.348965, 0, 1.764601, 2.277636, 0.6074714, 2.357573, 0.1009826, 0, 0.2954637, 1.731475
1.199550395203597, 0.3296776, 0, 1.660803, 2.157459, 0.5605928, 2.252844, 0.09469771, 0, 0.2823677, 1.642537
1.29951292813723, 0.3114561, 0, 1.563111, 2.043623, 0.517332, 2.152768, 0.08880398, 0, 0.5012474, 1.789444
1.399475461070864, 0.2942418, 0, 1.471165, 1.935793, 0.7197297, 2.057138, 0.08327706, 0, 0.4790305, 1.697528
1.499437994004497, 0.277979, 0, 1.384627, 1.833653, 0.9841831, 1.965756, 0.07809412, 0, 0.4577982, 1.610333
1.59940052693813, 0.2626149, 0, 1.30318, 1.736902, 0.9389819, 1.878433, 0.07323374, 0, 0.4375073, 1.845298
1.699363059871763, 0.2481001, 0, 1.226524, 2.292623, 0.8665208, 2.292164, 0.06867588, 0, 0.4181156, 1.750512
1.799325592805396, 0.2343875, 0, 2.421877, 2.171655, 0.7996515, 2.190341, 0.06440167, 0, 0.3995833, 1.660596
1.899288125739029, 0.2214328, 0, 2.788015, 2.05707, 1.10217, 3.109938, 0.06039348, 0, 0.7419693, 2.35434
