Time (s), Cell Name, Value
4.698239, C00, 3.662108
7.597152, C00, 3.335599
25.890296, C00, 3.559606
30.988385, C00, 3.500318
34.587036, C00, 9.463768
36.886174, C00, 3.857808
96.263919, C00, 3.753003
126.352641, C00, 5.609924
133.649906, C00, 4.80207
139.447733, C00, 4.30263
156.941176, C00, 4.63801
164.438366, C00, 4.998554
171.335781, C00, 3.6942
172.235444, C00, 4.339113
186.430123, C00, 5.263232
188.729262, C00, 3.645609
190.428625, C00, 3.746288
196.826227, C00, 4.276149
206.522593, C00, 4.415669
206.722518, C00, 4.542202
210.121244, C00, 3.785499
224.315923, C00, 3.668441
233.812364, C00, 3.790395
237.810865, C00, 3.817296
239.110378, C00, 3.729649
241.009666, C00, 3.502911
250.60607, C00, 7.414356
254.404646, C00, 4.098781
262.501611, C00, 3.715064
263.901086, C00, 5.374304
266.300187, C00, 3.405976
268.3994, C00, 4.134722
300.287448, C00, 5.240101
327.077407, C00, 3.875593
327.277332, C00, 6.712565
327.97707, C00, 4.170608
331.675684, C00, 3.716052
333.974822, C00, 4.576777
363.363807, C00, 3.924108
364.66332, C00, 3.400797
367.662196, C00, 3.702558
378.558112, C00, 4.090633
405.547996, C00, 4.214129
405.747921, C00, 3.698346
473.122668, C00, 4.189955
484.718322, C00, 3.534137
493.914875, C00, 3.908197
518.8055450000001, C00, 4.132666
525.902885, C00, 3.747921
527.302361, C00, 4.24646
537.398577, C00, 3.976747
565.388086, C00, 3.330521
572.585388, C00, 3.737657
574.584639, C00, 3.637902
605.473061, C00, 4.003311
606.972499, C00, 3.418937
612.970251, C00, 3.720033
617.068715, C00, 4.865149
630.66362, C00, 3.827075
635.861671, C00, 4.874265
637.76096, C00, 3.489272
639.660248, C00, 3.464656
643.6587489999999, C00, 4.734015
645.058225, C00, 4.568218
646.357737, C00, 5.697652
648.856801, C00, 3.867113
672.048108, C00, 4.372314
736.024129, C00, 3.380218
742.021881, C00, 4.85976
744.820832, C00, 3.564556
746.7201209999999, C00, 3.616534
763.513826, C00, 3.610171
765.1132270000001, C00, 3.861515
766.712627, C00, 3.397778
770.511203, C00, 3.898999
775.209442, C00, 3.378867
812.59543, C00, 3.977184
845.383141, C00, 4.125515
846.0828780000001, C00, 3.510358
866.975048, C00, 3.456105
874.072387, C00, 3.489161
877.071263, C00, 3.579837
892.765381, C00, 4.074469
920.255078, C00, 3.381016
958.040915, C00, 4.052974
964.93833, C00, 3.886404
996.626453, C00, 3.818791
1012.520496, C00, 6.457023
1015.519372, C00, 4.104598
1019.317948, C00, 3.898207
1029.714051, C00, 5.438068
1042.409293, C00, 3.883717
1047.007569, C00, 4.389635
1047.207495, C00, 3.615234
1050.306333, C00, 5.951342
1056.803898, C00, 3.384064
1059.502886, C00, 3.505091
1063.301462, C00, 3.594649
1106.085426, C00, 4.154566
1131.375947, C00, 3.594515
1144.071189, C00, 3.347012
1161.06482, C00, 4.350358
1181.357214, C00, 3.789298
1423.900194, C00, 3.84639
1428.498474, C00, 6.387082
1430.797614, C00, 3.74436
1456.28808, C00, 4.922552
1521.773267, C00, 5.542379
1522.772893, C00, 3.794231
1525.871736, C00, 3.840212
1534.468526, C00, 4.079313
1539.366697, C00, 3.171027
1541.765801, C00, 4.901613
1734.980251, C00, 3.487044
1738.578905, C00, 3.537678
1739.678493, C00, 4.856574
1747.27565, C00, 3.429771
1747.775463, C00, 3.765532
1751.174192, C00, 3.14507
1756.472209, C00, 4.161649
1756.872059, C00, 3.370228
1757.771723, C00, 4.014916
1764.96903, C00, 4.191837
1766.168581, C00, 3.273649
1769.967159, C00, 3.285405
1771.16671, C00, 3.452869
1773.066, C00, 4.182165
1777.864204, C00, 3.608987
1783.062259, C00, 3.153547
1793.958182, C00, 4.723144
1797.75676, C00, 3.764845
1806.853356, C00, 3.748715
1827.245726, C00, 3.314453
1836.742172, C00, 3.685612
1849.337459, C00, 4.708412
1850.13716, C00, 3.660059
1860.033456, C00, 3.992477
1860.93312, C00, 3.736416
1869.130052, C00, 3.147728
1886.223656, C00, 3.474218
1892.821187, C00, 4.74446
1900.918157, C00, 3.382363
1902.317634, C00, 3.13981
1905.516437, C00, 3.36232
1906.01625, C00, 4.241957
1918.311649, C00, 3.628782
1920.910676, C00, 6.201104
1925.209068, C00, 3.206842
1928.307908, C00, 3.178201
1945.801362, C00, 3.342212
1949.599941, C00, 3.533447
1951.399267, C00, 3.4065
1956.397397, C00, 3.679126
1968.392908, C00, 3.61881
1969.092646, C00, 3.366622
1974.390664, C00, 3.796302
1979.288831, C00, 3.979477
1979.488756, C00, 4.458005
2016.774804, C00, 3.367602
2017.874392, C00, 3.590503
2022.372709, C00, 3.221521
2023.972111, C00, 3.427642
2029.170165, C00, 3.59201
2041.165677, C00, 3.172326
2042.865041, C00, 3.975377
2043.864667, C00, 3.441308
2055.060477, C00, 3.241196
2056.959767, C00, 3.478583
2066.35625, C00, 3.785667
2083.949667, C00, 3.329598
2097.644542, C00, 4.209093
2108.240577, C00, 3.399709
2108.640428, C00, 3.790823
2112.638931, C00, 4.151252
2118.836612, C00, 3.513946
2124.834368, C00, 4.716964
2130.532236, C00, 4.764919
2133.831001, C00, 4.497494
2135.530365, C00, 4.025283
2145.826513, C00, 3.194409
2150.524754, C00, 3.55744
2190.209904, C00, 3.272141
2190.609755, C00, 3.55106
2209.802573, C00, 5.467818
2220.398608, C00, 4.742664
2229.895054, C00, 3.462614
2235.592922, C00, 4.300602
2248.588059, C00, 3.187672
2254.086002, C00, 3.598332
2256.285179, C00, 3.225523
2267.181102, C00, 3.256746
2281.575715, C00, 5.62025
2307.765915, C00, 3.141512
2314.363446, C00, 3.691647
2323.060192, C00, 3.484202
2327.658471, C00, 3.508294
2332.25675, C00, 3.46858
2350.250017, C00, 3.448936
2350.649868, C00, 4.43969
2370.142573, C00, 3.269552
2372.041863, C00, 3.501611
2390.235055, C00, 3.198595
2392.234307, C00, 3.210601
2394.933297, C00, 3.14618
2410.927312, C00, 4.00037
2417.924693, C00, 4.11762
2419.524095, C00, 3.995042
2420.623683, C00, 4.757075
2421.023534, C00, 4.43123
2425.122, C00, 3.58261
2459.309207, C00, 3.691938
2463.507636, C00, 4.062659
2464.307337, C00, 4.039311
2477.602362, C00, 3.301975
2484.299856, C00, 4.747743
2491.197275, C00, 3.58736
2493.196527, C00, 4.134845
2502.792936, C00, 3.442299
2503.992487, C00, 8.528798
2514.488559, C00, 3.741091
2518.187175, C00, 3.144055
2519.586651, C00, 3.624797
2523.685118, C00, 3.755567
2524.984631, C00, 3.481012
2531.682125, C00, 3.619228
2534.081228, C00, 3.810058
2539.779095, C00, 3.326955
2543.477711, C00, 3.506059
2558.172213, C00, 3.553626
2569.967799, C00, 3.70336
2572.966677, C00, 4.603066
2576.16548, C00, 3.86504
2581.663422, C00, 3.269988
2583.662674, C00, 3.359227
2594.158746, C00, 3.402858
2595.45826, C00, 3.766683
2599.756652, C00, 3.345358
2602.955455, C00, 6.79204
2611.6522, C00, 5.343814
2614.950966, C00, 3.630572
2618.349694, C00, 3.352535
2625.547001, C00, 3.31469
2626.846515, C00, 3.389503
2645.039707, C00, 5.519695
2650.637612, C00, 3.936502
2654.936004, C00, 3.476402
2660.633871, C00, 4.530104
124.35339, C01, 4.551871
142.346646, C01, 5.596408
149.543949, C01, 4.638963
202.923941, C01, 4.466786
214.019783, C01, 4.350742
