Time (s), Cell Name, Value
35.086849, C00, 3.081151
210.321169, C00, 2.784654
327.57722, C00, 2.503979
363.46377, C00, 2.635375
1015.619335, C00, 3.222893
1047.107532, C00, 2.791105
1051.006071, C00, 2.550548
1052.005697, C00, 2.600464
1428.798363, C00, 3.576642
1456.987819, C00, 2.531942
1849.637347, C00, 2.651012
1855.235252, C00, 3.829079
1893.121076, C00, 2.508602
1984.286961, C00, 2.558763
2420.723646, C00, 3.168943
2421.123497, C00, 3.857569
2504.292375, C00, 4.726693
2525.084595, C00, 2.991193
2645.13967, C00, 2.654775
47.682128, C02, 4.200148
52.580292, C02, 4.328072
129.85133, C02, 3.535832
281.39453, C02, 2.909918
283.993556, C02, 2.598158
464.226003, C02, 3.951787
467.124916, C02, 3.027392
524.10356, C02, 2.843165
531.100937, C02, 2.619176
531.300863, C02, 3.242831
545.595505, C02, 3.075189
545.79543, C02, 2.773927
545.895392, C02, 4.276278
676.84631, C02, 3.205042
759.1154749999999, C02, 2.827975
782.306783, C02, 3.085979
797.101238, C02, 4.870429
815.894194, C02, 2.563633
816.194081, C02, 3.442674
831.288424, C02, 3.000075
984.031174, C02, 2.655554
984.231099, C02, 3.021142
988.229601, C02, 2.93198
1082.694194, C02, 3.688662
1089.091796, C02, 2.691301
1106.485277, C02, 3.453506
1119.680331, C02, 3.004279
1122.679207, C02, 3.611632
1123.079058, C02, 3.952097
1132.375573, C02, 3.489212
1399.809205, C02, 2.738733
1399.909168, C02, 2.862916
1401.808458, C02, 4.053209
1402.008383, C02, 3.087185
1402.108345, C02, 2.658825
1402.208308, C02, 2.66124
1413.604046, C02, 4.228011
1439.094511, C02, 3.40688
1448.191109, C02, 2.852484
1467.283968, C02, 3.902701
1467.583856, C02, 3.195104
1468.983332, C02, 2.849821
1471.282472, C02, 3.352345
1522.473006, C02, 3.257106
1735.979878, C02, 3.085821
1762.569928, C02, 2.938478
1762.66989, C02, 2.471561
1804.254329, C02, 4.078827
1838.441537, C02, 4.199902
1849.437422, C02, 2.968952
1857.634355, C02, 3.292467
1930.207198, C02, 2.689519
1933.705889, C02, 2.640458
2010.277236, C02, 3.148084
2011.576749, C02, 2.566271
2011.676712, C02, 2.620727
2013.276113, C02, 4.280099
2129.932461, C02, 2.763451
2184.911887, C02, 2.566522
2272.779007, C02, 3.15928
2340.453684, C02, 3.014861
2355.548035, C02, 2.596214
2369.242911, C02, 2.692396
2380.938534, C02, 2.457149
2382.038123, C02, 4.292988
2382.238048, C02, 3.261223
2382.437973, C02, 3.495142
2383.137711, C02, 4.122499
2385.536813, C02, 3.907096
2386.536439, C02, 4.567664
2.998876, C04, 4.812716
3.098839, C04, 4.062718
3.198801, C04, 5.518104
3.298764, C04, 6.892872
3.398726, C04, 5.182133
3.498689, C04, 6.557579
11.895541, C04, 4.142515
27.289771, C04, 3.320735
64.175946, C04, 5.068831
64.275909, C04, 7.649353
64.375871, C04, 5.965784
64.47583400000001, C04, 5.619883
64.575796, C04, 7.962673
64.675759, C04, 8.695963
64.775721, C04, 9.59708
64.87568400000001, C04, 6.459549
66.87493499999999, C04, 2.665207
73.672387, C04, 2.963747
105.460472, C04, 2.575136
146.944923, C04, 3.871733
147.144848, C04, 2.823145
147.244811, C04, 3.517888
147.344774, C04, 2.898004
147.544699, C04, 4.90358
147.644661, C04, 4.885973
169.936306, C04, 3.959614
170.036269, C04, 4.536
170.136231, C04, 4.271103
215.619184, C04, 4.201323
218.218209, C04, 2.719423
218.318172, C04, 7.436982
218.418134, C04, 6.221134
218.518097, C04, 7.35788
218.61806, C04, 12.95007
218.718022, C04, 6.725231
218.817985, C04, 12.75172
218.917947, C04, 8.431324
219.01791, C04, 10.65896
219.117872, C04, 9.611164
219.217835, C04, 7.320671
220.317423, C04, 3.35136
221.616936, C04, 3.42469
223.016411, C04, 3.306358
223.216336, C04, 4.795481
245.607943, C04, 3.436786
245.707906, C04, 5.10179
245.807868, C04, 5.061364
245.907831, C04, 6.683435
246.007794, C04, 6.67227
246.107756, C04, 6.125835
258.50311, C04, 5.606578
258.603073, C04, 5.613081
258.703035, C04, 5.414785
258.802998, C04, 6.397518
258.90296, C04, 8.434248
259.002923, C04, 10.24452
259.102885, C04, 10.02833
259.202848, C04, 9.774273
259.30281, C04, 8.390835
259.702661, C04, 3.76144
260.902211, C04, 2.836359
279.595205, C04, 2.671542
287.592207, C04, 3.252511
287.69217, C04, 4.841645
287.792132, C04, 4.104061
287.892095, C04, 3.2981
300.787262, C04, 5.332806
300.887224, C04, 3.004646
300.987187, C04, 7.662778
301.087149, C04, 6.502256
306.984939, C04, 3.072576
307.284826, C04, 4.480187
307.384789, C04, 8.969129
307.484751, C04, 6.485636
307.584714, C04, 8.168983
307.684676, C04, 11.59451
307.784639, C04, 12.38606
307.884601, C04, 10.22598
307.984564, C04, 9.161362
308.084527, C04, 10.6265
308.184489, C04, 11.33739
308.284452, C04, 3.702034
308.484377, C04, 3.364838
309.284077, C04, 3.932762
309.683927, C04, 2.842964
309.883852, C04, 3.436111
310.683552, C04, 2.563221
311.683178, C04, 3.521942
404.748296, C04, 7.233976
404.948221, C04, 5.111137
405.048183, C04, 7.096684
405.148146, C04, 6.519897
405.248109, C04, 9.230883
419.042938, C04, 3.505719
421.042189, C04, 4.491042
421.142151, C04, 7.755259
421.242114, C04, 5.999717
421.342076, C04, 5.63533
421.442039, C04, 7.315517
421.542001, C04, 10.16398
421.641964, C04, 9.739529
421.741926, C04, 12.02537
421.841889, C04, 10.75212
421.941852, C04, 10.10294
422.041814, C04, 9.475792
422.141777, C04, 3.128036
422.241739, C04, 3.460564
422.441664, C04, 6.5186
422.941477, C04, 7.309509
423.341327, C04, 2.598251
423.641215, C04, 2.715061
424.141027, C04, 3.174545
424.740802, C04, 2.579075
462.52664, C04, 4.668092
462.626602, C04, 2.883658
465.325591, C04, 4.246376
465.425553, C04, 5.0814
467.624729, C04, 3.31469
467.924617, C04, 6.82892
470.42368, C04, 5.485743
529.401574, C04, 3.078172
529.501537, C04, 3.185679
562.189285, C04, 3.105422
562.289248, C04, 4.88635
562.38921, C04, 5.962246
562.4891730000001, C04, 4.861012
562.5891350000001, C04, 6.706518
562.6890979999999, C04, 7.395636
562.7890599999999, C04, 8.69866
562.889023, C04, 10.3632
562.988985, C04, 7.482101
563.088948, C04, 8.205082
563.188911, C04, 7.762905
658.153317, C04, 2.671267
658.253279, C04, 3.293755
716.431474, C04, 3.54267
716.631399, C04, 5.410009
730.226303, C04, 4.571624
730.326266, C04, 6.199508
730.526191, C04, 9.716793
730.626153, C04, 6.301714
730.726116, C04, 6.969034
757.016262, C04, 6.879764
757.216187, C04, 3.383095
762.2143139999999, C04, 6.159973
788.50446, C04, 3.557506
788.604422, C04, 3.259126
788.704385, C04, 6.677421
788.804347, C04, 4.959202
788.90431, C04, 5.403044
789.004272, C04, 7.77944
885.068267, C04, 3.342746
885.168229, C04, 3.566279
885.268192, C04, 3.193904
885.368154, C04, 5.496954
885.468117, C04, 7.036816
885.568079, C04, 5.276569
885.668042, C04, 7.923777
885.768004, C04, 7.363178
885.867967, C04, 3.814476
945.645562, C04, 4.930091
945.745524, C04, 4.133847
945.845487, C04, 4.476469
945.9454490000001, C04, 7.749624
946.0454120000001, C04, 8.004152
946.1453739999999, C04, 7.046858
946.2453369999999, C04, 8.153061
946.345299, C04, 10.34282
946.445262, C04, 7.465473
946.545224, C04, 3.235256
986.130387, C04, 4.636871
986.23035, C04, 6.356954
986.330312, C04, 3.856399
986.4302750000001, C04, 7.952905
986.5302380000001, C04, 5.943436
986.6301999999999, C04, 7.024645
986.7301629999999, C04, 7.784079
986.830125, C04, 9.149563
986.930088, C04, 9.361897
990.028926, C04, 2.776306
1003.823756, C04, 5.285399
1003.923718, C04, 4.946384
1004.023681, C04, 3.649679
1004.123643, C04, 7.107429
1004.223606, C04, 4.562481
1004.523493, C04, 3.556616
1004.623456, C04, 5.926182
1031.713302, C04, 2.616667
1031.913227, C04, 3.637936
1032.01319, C04, 5.147419
1036.811392, C04, 3.693493
1036.911354, C04, 6.699919
1037.011317, C04, 4.891484
1037.411167, C04, 6.985025
1088.192134, C04, 6.715284
1088.292096, C04, 3.086184
1088.392059, C04, 7.246811
1088.492021, C04, 5.887697
1088.591984, C04, 6.29677
1088.691946, C04, 8.986605
1088.791909, C04, 7.087578
1114.982092, C04, 4.348624
1115.082055, C04, 3.8764
1115.182017, C04, 2.526118
1115.28198, C04, 7.661424
1115.381942, C04, 5.977201
1115.481905, C04, 6.958666
1115.581868, C04, 7.451246
1115.68183, C04, 8.630749
1115.781793, C04, 10.56804
1115.881755, C04, 10.17696
1115.981718, C04, 7.341682
1116.08168, C04, 7.750546
1116.381568, C04, 3.182632
1117.381193, C04, 3.549187
1161.764558, C04, 2.838356
1172.060699, C04, 3.491939
1172.160661, C04, 3.118063
1172.260624, C04, 3.359076
1172.360586, C04, 6.902526
1172.460549, C04, 5.128764
1172.560511, C04, 5.811054
1172.660474, C04, 9.543995
1172.760436, C04, 6.37545
1172.860399, C04, 10.39782
1172.960361, C04, 6.107464
1402.308271, C04, 2.660515
1402.408233, C04, 2.912079
1406.006887, C04, 5.02706
1411.005018, C04, 2.964387
1411.10498, C04, 4.814615
1411.204943, C04, 4.769372
1411.304906, C04, 5.325692
1411.404868, C04, 8.875635
1411.504831, C04, 9.392576
1414.003896, C04, 3.052974
1414.203821, C04, 5.644112
1416.602924, C04, 2.546877
1416.702887, C04, 10.90357
1416.802849, C04, 2.746536
1455.388417, C04, 3.780442
1455.48838, C04, 3.007978
1476.980341, C04, 2.679406
1477.080304, C04, 6.321036
1477.280229, C04, 6.665039
1477.380192, C04, 7.058941
1477.480154, C04, 8.001078
1480.578995, C04, 2.721788
1524.672185, C04, 5.166773
1524.772147, C04, 4.770844
1530.569982, C04, 2.631855
1735.180177, C04, 3.080055
1735.28014, C04, 4.400755
1753.373369, C04, 2.610891
1761.070489, C04, 7.517948
1773.865701, C04, 3.159133
1773.965664, C04, 5.513408
1774.065626, C04, 5.076901
1778.164092, C04, 4.448465
1840.940601, C04, 3.839153
1841.040564, C04, 4.503179
1841.140527, C04, 5.234136
1841.240489, C04, 7.621378
1841.340452, C04, 9.25633
1841.440414, C04, 7.74328
1841.540377, C04, 7.574265
1841.64034, C04, 9.234791
1841.740302, C04, 8.856625
1841.840265, C04, 4.988235
1843.639592, C04, 2.556061
1845.738806, C04, 2.585493
1885.124068, C04, 2.796733
1948.900203, C04, 4.025295
1949.000166, C04, 4.360807
1949.100128, C04, 5.105618
1949.200091, C04, 6.656883
1949.300053, C04, 7.498415
1949.400016, C04, 8.224646
1949.499979, C04, 5.131222
1969.59246, C04, 3.974304
1969.692423, C04, 3.225128
1991.984081, C04, 3.043601
1992.084044, C04, 5.935354
1992.184006, C04, 3.737585
1992.283969, C04, 6.02486
1992.383931, C04, 7.459442
1992.483894, C04, 7.967176
1992.583857, C04, 7.888376
1992.683819, C04, 8.055683
2036.66736, C04, 3.697533
2036.767323, C04, 5.812297
2036.867286, C04, 5.197177
2036.967248, C04, 6.753092
2037.067211, C04, 4.496672
2055.460328, C04, 5.263075
2065.9564, C04, 3.958136
2066.356251, C04, 2.726866
2066.456213, C04, 6.963238
2066.556176, C04, 5.746484
2066.656139, C04, 7.386187
2066.756101, C04, 8.517073
2066.856064, C04, 8.506397
2066.956026, C04, 7.98381
2067.055989, C04, 9.396648
2067.155952, C04, 5.58408
2103.142485, C04, 5.875706
2103.242448, C04, 4.241096
2103.342411, C04, 6.154488
2103.442373, C04, 5.930103
2103.542336, C04, 5.967749
2127.233471, C04, 3.465413
2127.433396, C04, 6.457785
2127.533358, C04, 6.141328
2127.633321, C04, 6.200573
2127.733284, C04, 6.074467
2127.833246, C04, 9.599306
2127.933209, C04, 5.837776
2128.133134, C04, 6.964924
2128.233097, C04, 6.241955
2129.032797, C04, 3.038418
2136.629954, C04, 4.799594
2136.729917, C04, 5.919995
2160.521014, C04, 2.574431
2178.214394, C04, 5.57321
2178.314356, C04, 3.354465
2178.414319, C04, 7.091806
2178.514281, C04, 4.381477
2178.614244, C04, 7.042141
2178.914132, C04, 9.088915
2179.014094, C04, 3.069103
2185.811551, C04, 3.574224
2195.008109, C04, 3.324
2233.093858, C04, 3.411813
2233.19382, C04, 5.969482
2233.293783, C04, 4.6395
2233.393745, C04, 5.618663
2236.192698, C04, 3.422492
2297.069918, C04, 2.601092
2297.16988, C04, 6.657571
2297.269843, C04, 5.77773
2297.369806, C04, 6.168525
2327.958359, C04, 7.233836
2328.058322, C04, 4.624638
2328.158284, C04, 2.722446
2332.356713, C04, 2.829016
2339.054207, C04, 3.657179
2339.15417, C04, 6.121443
2339.254132, C04, 6.814658
2339.354095, C04, 6.151251
2339.454058, C04, 7.950518
2339.55402, C04, 6.808567
2339.653983, C04, 8.93924
2339.753945, C04, 9.699738
2339.853908, C04, 6.736698
2339.953871, C04, 9.651573
2340.053833, C04, 5.039528
2340.153796, C04, 3.741051
2340.453684, C04, 3.218361
2341.053459, C04, 3.101463
2341.753197, C04, 3.203697
2350.649868, C04, 2.88
2369.342873, C04, 6.725597
2369.442836, C04, 5.210488
2369.542798, C04, 4.508331
2369.642761, C04, 5.602488
2369.742724, C04, 6.926327
2369.842686, C04, 7.196253
2369.942649, C04, 9.287247
2370.042611, C04, 7.680935
2370.142574, C04, 7.47781
2370.242537, C04, 7.760967
2370.342499, C04, 7.989094
2370.442462, C04, 3.783504
2371.042237, C04, 3.758221
2371.54205, C04, 3.214401
2371.841938, C04, 3.387959
2395.43311, C04, 4.294003
2415.625554, C04, 3.446919
2427.02129, C04, 6.469353
2437.517362, C04, 3.595191
2440.216352, C04, 2.591119
2454.211115, C04, 3.12282
2454.411041, C04, 2.547792
2454.511003, C04, 2.970383
2454.610966, C04, 7.336626
2454.710928, C04, 2.946778
2466.506514, C04, 3.852329
2466.606477, C04, 3.185306
2496.695218, C04, 3.109009
2501.593385, C04, 3.368604
2501.693348, C04, 3.309297
2517.787325, C04, 3.848806
2517.98725, C04, 2.84482
2518.087213, C04, 8.616404
2518.187176, C04, 5.277498
2518.287138, C04, 9.025265
2518.387101, C04, 6.72797
2518.487063, C04, 7.539127
2518.587026, C04, 6.822186
2518.686989, C04, 3.691906
2519.286764, C04, 3.855572
2520.786203, C04, 2.869553
2556.572812, C04, 4.000174
2556.672774, C04, 3.406893
2636.942737, C04, 3.455893
2649.238136, C04, 2.912514
2660.93376, C04, 2.642576
2661.133685, C04, 5.314425
2661.433573, C04, 2.875855
24.190933, C07, 2.603095
28.289397, C07, 2.704919
77.271038, C07, 2.7853
82.06923999999999, C07, 3.701836
159.44024, C07, 2.714075
234.112252, C07, 3.878845
332.475385, C07, 2.927187
340.57235, C07, 3.996967
439.135407, C07, 2.606922
440.43492, C07, 3.173876
600.574898, C07, 3.378961
1052.605472, C07, 3.378142
1052.805397, C07, 2.696654
1054.50476, C07, 2.570054
1463.785276, C07, 3.010658
1536.767668, C07, 2.821001
1885.923769, C07, 2.692693
1899.318756, C07, 2.372287
1971.8916, C07, 2.901433
1972.191487, C07, 2.995427
2063.957149, C07, 2.39507
2349.450317, C07, 2.67069
2349.650242, C07, 2.459136
2532.481827, C07, 3.609877
87.167329, C14, 4.786952
194.727014, C14, 2.992386
199.725141, C14, 4.491455
202.524092, C14, 3.103373
279.79513, C14, 3.374403
473.822406, C14, 2.748815
481.419559, C14, 3.197468
481.719446, C14, 3.418599
491.7157, C14, 2.574325
502.811541, C14, 3.255727
549.594006, C14, 3.450004
549.793931, C14, 3.124414
590.178794, C14, 2.53149
836.186588, C14, 4.319733
839.285427, C14, 3.770012
1114.88213, C14, 3.047758
1130.776173, C14, 2.99887
1142.671714, C14, 2.644042
1194.852156, C14, 2.828057
1198.450807, C14, 3.099989
1399.809205, C14, 2.9007
1400.109093, C14, 2.790904
1400.408981, C14, 2.406913
1959.19635, C14, 2.487621
2020.173532, C14, 2.674875
2097.54458, C14, 2.675387
2113.33867, C14, 4.942533
2315.363072, C14, 3.196859
178.733009, C16, 3.020944
429.539004, C16, 2.759722
554.89202, C16, 3.059621
667.549795, C16, 3.115906
670.348746, C16, 3.300873
670.748596, C16, 3.194879
671.048484, C16, 2.956278
671.148446, C16, 3.303486
671.7482209999999, C16, 2.856798
671.948146, C16, 3.555151
673.147697, C16, 4.573223
673.347622, C16, 4.489929
674.147322, C16, 2.692158
674.547172, C16, 2.854216
675.24691, C16, 3.295731
675.546798, C16, 3.686872
676.246535, C16, 3.329365
678.445711, C16, 3.227716
749.918922, C16, 3.372887
750.518697, C16, 2.780583
751.01851, C16, 3.637254
834.2873, C16, 3.414557
1064.600976, C16, 2.628134
1075.696817, C16, 2.937878
1122.079432, C16, 3.630177
1122.37932, C16, 3.09024
1122.77917, C16, 2.869673
1123.079058, C16, 2.854317
1154.76718, C16, 2.920608
1759.1712, C16, 3.139934
1882.824928, C16, 2.496945
2087.848209, C16, 3.445087
2110.339792, C16, 2.95828
2110.539717, C16, 2.734077
2173.016339, C16, 2.828856
2173.316226, C16, 2.542401
2241.890566, C16, 2.518571
2532.281901, C16, 2.982393
5.497939, C17, 5.12996
9.596403, C17, 3.776316
9.896291, C17, 3.160167
17.093593, C17, 5.889046
59.477707, C17, 3.467522
69.97377299999999, C17, 4.283607
95.564181, C17, 3.222895
100.962158, C17, 3.716079
101.162083, C17, 2.79768
105.860322, C17, 2.576367
113.357512, C17, 4.226779
119.155339, C17, 4.465254
124.353391, C17, 2.556668
128.551817, C17, 2.878177
134.049757, C17, 2.799669
149.843837, C17, 2.924236
160.439865, C17, 2.738008
160.539828, C17, 2.723574
164.838217, C17, 3.568216
166.237692, C17, 3.080125
166.337655, C17, 5.817747
168.636793, C17, 2.782456
168.736756, C17, 3.927399
170.636044, C17, 3.519672
172.135482, C17, 3.832944
172.635294, C17, 3.221008
238.410641, C17, 3.667404
238.510604, C17, 3.628604
