Time (s), Cell Name, Value
18.792933, C01, 5.307348
20.892143, C01, 4.310951
25.190527, C01, 5.624458
27.589625, C01, 3.880272
29.488911, C01, 4.929647
102.46147, C01, 4.644399
192.527602, C01, 3.755223
200.32467, C01, 6.548365
226.214934, C01, 3.815794
255.104071, C01, 6.36759
258.602755, C01, 5.343597
271.997718, C01, 4.371697
273.297229, C01, 4.071858
291.9902, C01, 4.387
299.587343, C01, 4.323198
316.780878, C01, 5.230745
325.777495, C01, 4.56404
342.371255, C01, 3.820657
345.670015, C01, 4.360596
348.668887, C01, 4.503061
352.96727, C01, 3.831422
391.452798, C01, 3.800815
396.250994, C01, 5.217898
443.833101, C01, 4.398751
481.818817, C01, 5.604652
495.813555, C01, 3.807903
514.006714, C01, 3.984688
543.895474, C01, 4.487685
586.979273, C01, 3.805885
590.2780330000001, C01, 5.048178
597.775213, C01, 4.051322
601.173935, C01, 3.812232
609.370853, C01, 3.943283
616.768071, C01, 4.038109
621.9661170000001, C01, 4.338966
625.364839, C01, 4.061756
654.05405, C01, 3.790466
658.652321, C01, 4.546515
671.247585, C01, 5.09038
676.045781, C01, 4.93123
703.335519, C01, 4.116321
713.231797, C01, 3.811239
718.529805, C01, 3.916548
729.025858, C01, 3.998186
743.820295, C01, 4.113255
773.309206, C01, 4.060951
778.407289, C01, 4.030793
785.9044699999999, C01, 4.808742
788.303568, C01, 3.765249
799.59932, C01, 4.196476
846.781578, C01, 4.978654
854.178796, C01, 3.801279
963.637635, C01, 4.000024
996.625231, C01, 4.361941
1003.122787, C01, 4.751647
1005.32196, C01, 3.85342
1015.018314, C01, 3.786938
1015.818014, C01, 3.876529
1020.21636, C01, 4.432299
1020.916096, C01, 4.003618
1033.211473, C01, 8.277863
1039.209218, C01, 3.850538
1080.393731, C01, 4.37218
1082.392979, C01, 3.922977
1087.391099, C01, 3.801589
1088.490686, C01, 3.807087
1107.883393, C01, 4.562099
1108.98298, C01, 5.514006
1133.373808, C01, 3.85274
1134.573357, C01, 4.647523
1141.070914, C01, 4.057382
1147.768395, C01, 4.159346
1156.2652, C01, 3.859013
1157.364787, C01, 5.78933
1170.3599, C01, 5.386995
1184.354637, C01, 3.846152
1212.344112, C01, 4.713814
1213.343736, C01, 6.693566
1219.441443, C01, 4.534568
1227.838286, C01, 4.453885
1561.363774, C01, 6.028161
1568.561063, C01, 3.375777
1569.660649, C01, 3.447517
1578.057487, C01, 3.508736
1582.955643, C01, 3.728972
1599.849281, C01, 3.968948
1601.04883, C01, 3.489237
1608.346082, C01, 5.743199
1633.136747, C01, 3.662434
1636.835354, C01, 3.287728
1647.231439, C01, 3.324283
1656.927788, C01, 3.715548
1677.719958, C01, 3.559253
1693.613973, C01, 3.272529
1700.611338, C01, 4.064644
1717.105127, C01, 3.567374
1730.799971, C01, 3.832097
1738.097223, C01, 3.527524
1739.296771, C01, 3.405852
1768.185892, C01, 4.387546
1769.185516, C01, 3.522416
1774.983333, C01, 3.486659
1775.28322, C01, 3.351702
1776.182881, C01, 4.210314
1777.082542, C01, 3.950221
1801.473358, C01, 3.883115
1806.571438, C01, 3.899062
1814.668389, C01, 3.634046
1815.767975, C01, 4.432207
1820.366243, C01, 3.763987
1828.663119, C01, 3.793057
1832.561651, C01, 3.766528
1848.355704, C01, 3.404984
1862.850246, C01, 3.764284
1875.245578, C01, 4.326725
1881.043395, C01, 3.707633
1885.94155, C01, 3.345705
1888.240684, C01, 3.889353
1890.239932, C01, 3.719041
1898.436845, C01, 3.297796
1900.036243, C01, 4.953717
1918.229392, C01, 4.013081
1923.327472, C01, 3.306993
1925.926493, C01, 4.106576
1933.323708, C01, 4.370368
1935.322955, C01, 3.500345
1938.9216, C01, 4.096784
1940.520998, C01, 3.246598
1943.020057, C01, 3.485757
1944.219605, C01, 3.503716
1946.318814, C01, 3.539056
1953.31618, C01, 3.422723
1959.113996, C01, 3.619217
1973.408614, C01, 4.842683
1975.307898, C01, 4.237973
1977.307145, C01, 4.337352
1985.204172, C01, 4.32703
1985.604021, C01, 3.898708
2004.796794, C01, 3.955045
2006.696079, C01, 3.688369
2014.79303, C01, 3.371353
2021.390545, C01, 3.347685
2031.786631, C01, 3.629015
2044.581812, C01, 3.709841
2052.378876, C01, 3.809572
2052.978651, C01, 3.486196
2071.571649, C01, 4.671141
2075.470181, C01, 3.434501
2078.469052, C01, 3.755276
2090.964347, C01, 3.606708
2098.661448, C01, 3.504238
2111.656555, C01, 3.853548
2130.749365, C01, 3.2553
2137.146956, C01, 3.616105
2152.441197, C01, 3.652066
2154.740331, C01, 3.587992
2182.629829, C01, 3.417832
2195.724898, C01, 4.79666
2208.320155, C01, 3.797792
2224.514057, C01, 4.26731
2228.312627, C01, 3.5217
2246.605738, C01, 3.506162
2260.000694, C01, 4.415016
2265.698548, C01, 4.247113
2268.697419, C01, 3.256108
2279.493354, C01, 3.403709
2285.69102, C01, 3.686813
2287.990154, C01, 6.03721
2291.788724, C01, 5.052499
2296.786842, C01, 4.925118
2329.174646, C01, 4.028444
2352.165988, C01, 3.472549
2357.463993, C01, 3.528527
2372.458347, C01, 3.429228
2373.158083, C01, 3.71794
2410.044193, C01, 3.816227
2412.043441, C01, 3.361056
2420.140392, C01, 3.84902
2420.840128, C01, 3.74631
2425.438397, C01, 4.468561
2426.138133, C01, 3.530841
2430.636439, C01, 3.36865
2435.234708, C01, 3.465677
2435.834482, C01, 3.56152
2441.032524, C01, 3.336634
2441.632299, C01, 3.330055
2449.129475, C01, 3.396476
2462.524431, C01, 3.341908
2485.515774, C01, 4.411348
2519.403013, C01, 3.698991
2533.997517, C01, 3.579231
2548.492059, C01, 4.441137
2577.381181, C01, 5.045807
2589.676551, C01, 4.031338
2594.174857, C01, 3.363678
2596.074142, C01, 4.033439
2596.673916, C01, 8.264086
2602.77162, C01, 4.656331
2605.170716, C01, 3.892225
2605.570566, C01, 3.840949
2607.070001, C01, 3.683973
2629.661494, C01, 3.608189
2642.556638, C01, 3.270486
2657.750917, C01, 4.064603
2660.549863, C01, 5.112431
2685.240565, C01, 3.556497
2699.735107, C01, 3.451389
2725.925245, C01, 4.152275
2738.320577, C01, 3.328946
2740.019937, C01, 3.430144
2749.716286, C01, 3.622338
2750.615947, C01, 3.384353
2751.915458, C01, 3.543966
2753.414893, C01, 3.496884
95.96391300000001, C03, 8.497326
174.434406, C03, 3.749961
192.327677, C03, 3.765707
247.60689, C03, 4.156626
297.488133, C03, 3.453924
304.085652, C03, 4.771876
312.582457, C03, 3.365189
335.473849, C03, 3.398133
382.756069, C03, 3.685433
396.051069, C03, 3.361053
396.650844, C03, 4.011885
400.049566, C03, 4.273232
474.621524, C03, 5.162458
536.198369, C03, 3.646636
600.474199, C03, 4.026082
610.4704400000001, C03, 5.373051
620.566643, C03, 4.556897
625.364839, C03, 3.46796
627.464049, C03, 4.568221
658.352434, C03, 3.946541
660.051795, C03, 6.12018
660.451645, C03, 4.510213
660.851494, C03, 4.687827
662.450893, C03, 3.596423
668.0487879999999, C03, 3.650799
669.748149, C03, 3.390557
673.446758, C03, 3.413347
684.242698, C03, 3.404493
700.536571, C03, 4.076018
715.83082, C03, 3.906747
720.229166, C03, 4.089381
721.728602, C03, 4.155258
736.523039, C03, 3.609703
738.022475, C03, 4.509107
739.9217609999999, C03, 4.521789
741.221272, C03, 3.354923
743.320483, C03, 3.433554
754.1164230000001, C03, 3.875347
754.616235, C03, 7.057192
756.315596, C03, 3.918779
761.513642, C03, 3.443996
778.907101, C03, 3.547523
798.599696, C03, 3.555793
810.195335, C03, 5.661126
812.894321, C03, 3.824948
818.792103, C03, 4.130665
830.787592, C03, 3.367239
880.268985, C03, 3.701412
881.168647, C03, 3.437265
884.867256, C03, 3.520366
887.166391, C03, 4.220182
903.5602270000001, C03, 3.410829
909.957821, C03, 3.369035
916.655302, C03, 3.450039
933.049138, C03, 3.956313
957.140079, C03, 4.567201
957.839816, C03, 4.270008
967.436207, C03, 4.084173
971.634628, C03, 3.837029
977.432448, C03, 3.368552
1006.221622, C03, 4.436033
1015.818014, C03, 3.766367
1030.212601, C03, 3.543479
1042.907827, C03, 3.785424
1048.405759, C03, 4.772937
1061.70076, C03, 3.760386
1104.184784, C03, 3.674258
1107.983356, C03, 3.738171
1140.771026, C03, 3.406643
1166.861216, C03, 3.411655
1169.360276, C03, 4.442108
