 , C00, C01, C02, C03, C04, C05, C06, C07, C08, C09, C10, C11
Time(s)/Cell Status, rejected, accepted, rejected, accepted, rejected, rejected, accepted, accepted, rejected, rejected, rejected, rejected
0, 3.086812, 1.466365, -0.4477848, 0.9694408, 2.324625, 3.718281, 1.166825, 0.1109092, 3.842371, 0.384015, 0.04813616, 4.623245
0.09996241035598706, -0.03521715, -0.1683042, 1.048105, -0.1847641, 0.3476986, 4.989787, 3.049817, 0.4241615, 3.554848, -0.4313172, -1.686329, 3.284644
0.1999248207119741, 1.320089, 1.300996, 2.309047, -0.921215, 2.140901, 3.614087, 2.65143, -1.641022, 6.278508, 0.3184391, 0.34943, 4.634407
0.2998872310679612, 2.42748, 1.241885, 0.2384161, -2.240201, -2.139331, 3.574963, 1.772913, 0.785272, 5.173385, 1.254894, 1.950892, 4.15837
0.3998496414239482, 1.292975, 1.307017, 2.65468, -1.697768, -0.8540005, 4.484377, 0.9730377, 0.97396, 4.44284, 1.94155, 0.5770368, 5.379973
0.4998120517799353, 3.770249, 0.1940527, 1.232023, -0.9207123, -2.769348, 3.890358, 1.171798, 1.606538, 4.890633, 2.469398, 0.3532158, 3.878813
0.5997744621359223, -0.6293821, 0.807546, 0.7721635, -1.777327, -2.296725, 1.862195, -1.036368, -0.1663645, 3.090341, 1.571801, 1.724249, 4.588346
0.6997368724919094, 1.270464, -0.3340368, 0.5215226, -0.7999333, -1.581919, 1.532807, 2.316693, 0.4241264, 3.547627, 0.6951088, 0.03445607, 4.874982
0.7996992828478965, 1.439539, 1.678705, -1.673086, -1.358346, -0.7194887, 1.834434, 1.726081, -0.2413562, 3.551708, -0.8365741, 1.988106, 4.983713
0.8996616932038835, 2.366678, 2.451748, 0.6096359, 0.1953445, -1.324248, 2.934665, 1.287208, 2.209638, 3.072034, -1.538205, 3.255216, 4.279809
0.9996241035598705, 2.909885, 2.848289, 0.8417935, -1.958057, -1.210073, 0.6109384, 1.758872, -0.4102998, 3.75269, 1.44633, -0.4856008, 5.739739
1.099586513915858, 0.8402919, 0.0230303, 1.555718, -1.539932, -0.9115184, 4.115654, 0.6439568, -1.164843, 4.236023, 0.0357006, 1.199198, 2.556914
